Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.655s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	14.2	14.8	14.8	16.2
61	784.48	914.24	762.88	1019.84
62	1007.36	1029.6	1077.12	837.92
63	868.64	947.84	1188.64	910.4
64	716.32	706.56	1002.72	938.56
65	1040.48	1117.6	850.72	959.36
66	1073.28	706.24	1188.48	1005.76
67	1137.6	1093.12	984.8	1030.24
68	1249.44	917.12	1240.64	852.64
69	1010.56	1071.68	810.88	1225.92
70	1278.24	1067.84	996.48	717.44
71	1055.52	800.32	907.04	796.96
72	1167.36	934.24	1012.32	751.68
73	1072	920.8	939.36	841.92
74	1055.52	1056.16	812.48	790.72
75	1038.88	988.96	1049.92	951.2
76	966.4	920.48	800.48	892.16
77	659.04	924	1026.24	867.2
78	1122.88	885.28	902.4	1098.88
79	820	796.48	1055.68	1103.68
80	836.64	1056.96	1057.92	1247.52
81	1023.52	1094.56	721.44	1136.48
82	1098.08	938.56	1065.6	900.96
83	768.8	1288.64	1003.04	752.48
84	1035.84	919.2	1046.88	851.2
85	1037.6	1144.8	1245.44	879.84
86	1093.76	741.76	1060.16	1079.84
87	821.28	1082.72	977.12	1147.04
88	1044.48	836.96	912.96	1128.96
89	1214.72	807.36	1137.28	877.76
90	1193.76	1145.28	904	1009.76
91	1014.56	973.92	807.2	1343.2
92	840.8	1180.8	1180.96	1040.64
93	1107.36	929.76	1215.2	894.88
94	921.6	1184.8	1132.32	902.72
95	916.16	946.08	1199.84	959.84
96	980.32	878.72	1060.8	1100.96
97	971.84	990.4	999.36	1118.4
98	1010.08	1071.52	998.4	953.6
99	884.48	1020.8	1259.36	1012
100	1114.08	790.72	1241.92	1029.92
101	1128.64	922.4	1163.52	1129.76
102	1134.24	810.4	875.84	1280.48
103	1122.72	1192.48	1285.92	722.56
104	1205.76	856.32	1218.72	850.08
105	898.72	1293.12	1055.36	918.56
106	866.08	950.4	1159.52	1000.32
107	785.12	914.56	916.96	1291.2
108	694.24	1126.4	936	732.96
109	1107.04	1175.52	1001.6	759.36
110	643.2	1102.88	1042.88	836.16
111	1022.24	1042.4	889.12	911.52
112	992.32	874.4	892	992.8
113	878.08	1089.92	1186.24	1091.2
114	1215.2	982.56	883.04	839.2
115	998.08	1003.52	1080.32	1083.2
116	1153.6	947.68	912	1077.44
117	977.12	838.88	911.52	1189.6
118	1076	885.44	1167.2	1014.08
119	1084.48	923.84	752.8	1212.8
120	1090.08	1118.08	923.04	1008.32
(1,0)	(2,3576)	(3,0)	(4,59862)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1002.11	981.235	1018.17	981.701
delay	61.3757	53.0368	54.7848	56.4946
loss	0.0034006	8.88218e-05	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs3', '--datarate=20e5', '--packetSize=2e2', '--tcp=0', '--RngRun=18'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
