Waf: Entering directory `/home/jw27/ns-3.30-obss/build'
Waf: Leaving directory `/home/jw27/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.443s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	13.4	15.6	14.2	15.6
61	1056.4	1338.4	1175.6	1018.4
62	1064.4	1434.4	1225.6	1357.6
63	1299.2	1412	882	1306.8
64	1182.4	1375.2	986	1159.2
65	1201.2	1236.8	1294.8	1390
66	1361.2	1500.4	1279.2	1538.8
67	889.2	994.8	1624	1398.4
68	1081.2	1383.2	1428.4	1183.6
69	1153.6	1110.4	976.4	1364
70	1206.8	1135.2	1319.6	1203.2
71	1386	1631.2	1208.8	1273.6
72	1237.2	1064.4	1106.4	1128.4
73	1157.6	1354.8	1145.6	1586.4
74	1186	1061.6	1522.8	1157.2
75	1238	1655.6	901.6	1134
76	969.6	1126	1145.6	1358.8
77	1241.6	1786.8	1619.6	862.8
78	625.6	1134.4	1509.6	1293.6
79	1616.4	1159.6	1302.8	1481.6
80	1467.2	1229.2	846	1201.2
81	1319.6	1417.6	1441.6	1181.6
82	1730	834	1054.4	1302.4
83	1238.8	1278.8	1096.8	1170.4
84	1638.4	1298	1395.2	1138.8
85	1322.8	1373.6	1606.8	1072.4
86	1050	998.8	1068.8	935.2
87	1276.4	1242.8	1140	1338
88	1333.6	1257.6	1646	1472.8
89	1007.6	1153.2	872.4	1557.2
90	1476.4	1118.4	1232	1548.8
91	1122.8	1306	1146.4	1236
92	1254.8	1285.6	1439.2	1314.8
93	1004.4	1339.6	1672.8	1071.2
94	1553.2	1348.4	1169.2	1038
95	952	1595.6	1196.4	1154
96	1130.8	1128.8	1349.6	1535.2
97	1048	1505.6	1475.6	1518
98	1074	1643.6	1367.2	911.6
99	1410.8	1173.2	1249.2	1333.2
100	1118.4	1167.2	1389.6	1471.6
101	1422.4	1387.6	1314.4	1192.4
102	1218.8	1201.2	1281.2	1119.2
103	1301.6	1109.2	1003.2	1189.2
104	1188.4	1407.2	959.6	1250
105	1276	1753.2	1190.4	940.4
106	1441.6	1034.8	1070	1137.6
107	1213.6	1327.6	1353.6	1254.4
108	1142.8	1199.2	1228.4	1458.4
109	1233.6	1198.4	1568.4	1183.6
110	1432.4	1294.8	1554	1338.4
111	1019.2	1231.6	1250	1019.2
112	1276.4	1220	995.2	1304.4
113	1214.8	1339.6	1470.4	1416
114	1052	1322.8	1612.8	1616.4
115	1454	1139.6	1036	1136.8
116	1423.2	1256	1173.2	1212
117	1446.4	708	1262.8	1415.6
118	1493.2	1558.8	1134	1373.6
119	991.2	1142.4	1723.2	1144.8
120	1147.6	1026.8	1511.6	1317.6
(1,0)	(2,10937)	(3,0)	(4,711)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	1234.55	1274.16	1270.03	1261.98
delay	0.425415	0.482811	0.421391	0.375497
loss	0	0	0	0
Command ['/home/jw27/ns-3.30-obss/build/scratch/simple-ofdma-adhoc5', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=120', '--ratio=0.375', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--randomTime=true', '--dataMode=HeMcs4', '--datarate=25e5', '--packetSize=5e2', '--tcp=0', '--RngRun=1'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
