Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.759s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6
60	14.2	14.2	16.4	13.8	16.4	12.4
61	0	0	953.6	1206.4	1216	1123.2
62	0	0	1526.4	1152	1744	1424
63	0	0	1526.4	1401.6	1312	1420.8
64	0	0	1427.2	1379.2	1158.4	1459.2
65	0	0	1779.2	1113.6	1302.4	1206.4
66	0	0	1155.2	1414.4	1059.2	1248
67	0	0	1116.8	1161.6	1347.2	1305.6
68	0	0	1395.2	1222.4	988.8	1283.2
69	0	0	1484.8	1350.4	1433.6	1350.4
70	0	0	860.8	1078.4	1376	1222.4
71	0	0	1126.4	1187.2	1292.8	1164.8
72	0	0	1187.2	1312	1670.4	844.8
73	0	0	1289.6	1251.2	1347.2	1545.6
74	0	0	1523.2	1136	1414.4	1379.2
75	0	0	1129.6	787.2	1280	1155.2
76	0	0	1235.2	1385.6	1664	1484.8
77	0	0	912	931.2	1360	1481.6
78	0	0	1267.2	1049.6	969.6	1017.6
79	0	0	880	1392	1590.4	1257.6
80	0	0	1142.4	1145.6	1075.2	1232
81	0	0	1004.8	1020.8	1536	1356.8
