Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.771s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6
60	14.4	12.2	13.8	17	13.2	13.8
61	0	0	1881.6	2739.2	2419.2	2547.2
62	0	0	1881.6	3363.2	2873.6	2169.6
63	0	0	2294.4	2905.6	2489.6	1961.6
64	0	0	1894.4	1785.6	2176	2006.4
65	0	0	2118.4	1667.2	2144	1804.8
66	0	0	1968	1968	3360	2380.8
67	0	0	2044.8	2387.2	2304	1824
68	0	0	1868.8	3161.6	2355.2	1683.2
69	0	0	2707.2	2220.8	2025.6	2137.6
70	0	0	2064	1872	1833.6	2336
71	0	0	1820.8	2473.6	1984	2025.6
72	0	0	2224	2880	2438.4	2019.2
73	0	0	2534.4	2624	2486.4	1737.6
74	0	0	1936	2208	1894.4	2428.8
75	0	0	2649.6	2294.4	2080	1683.2
76	0	0	2300.8	2201.6	2806.4	1993.6
77	0	0	2572.8	1897.6	2220.8	2083.2
78	0	0	1724.8	1843.2	1792	1814.4
79	0	0	2547.2	2444.8	2416	1849.6
80	0	0	1705.6	1801.6	2272	2643.2
81	0	0	2041.6	2707.2	2118.4	1865.6
82	0	0	2284.8	2230.4	2172.8	1843.2
83	0	0	1734.4	2384	2080	2160
84	0	0	2320	2278.4	2748.8	1929.6
85	0	0	1878.4	2169.6	1974.4	2172.8
86	0	0	1964.8	2329.6	2291.2	2694.4
87	0	0	1740.8	2579.2	2051.2	2102.4
88	0	0	1862.4	1904	2393.6	1929.6
89	0	0	2512	1840	2102.4	2022.4
90	0	0	1683.2	2662.4	2150.4	1913.6
avg	0	0	2092.05	2327.47	2281.81	2058.77
delay	0.236111	0.229508	519.796	477.679	508.713	517.81
loss	0	0	0.467539	0.0797439	0.434511	0.230988
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=30e6', '--ratio=0.375', '--RngRun=44', '--locationFile=locationtxt/locationFile22.txt', '--routingFile=locationtxt/routingFile22.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
