Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.754s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14
60	15.2	14.6	15.4	13.6	13.6	15	17.4	12	13.4	16.8	16.8	16.2	13.8	15.2
61	0	0	0	0	0	0	505.6	332.8	473.6	688	384	435.2	688	576
62	0	0	0	0	0	0	393.6	457.6	457.6	476.8	374.4	601.6	156.8	307.2
63	0	0	0	0	0	0	307.2	393.6	304	320	412.8	300.8	297.6	396.8
64	0	0	0	0	0	0	620.8	771.2	252.8	291.2	390.4	464	400	416
65	0	0	0	0	0	0	508.8	310.4	444.8	454.4	265.6	534.4	454.4	198.4
66	0	0	0	0	0	0	364.8	444.8	432	371.2	275.2	352	438.4	419.2
67	0	0	0	0	0	0	467.2	339.2	297.6	358.4	492.8	496	528	448
68	0	0	0	0	0	0	387.2	467.2	508.8	416	297.6	323.2	387.2	262.4
69	0	0	0	0	0	0	374.4	435.2	473.6	435.2	419.2	393.6	483.2	323.2
70	0	0	0	0	0	0	400	451.2	496	691.2	284.8	262.4	313.6	320
71	0	0	0	0	0	0	217.6	259.2	128	320	563.2	572.8	448	620.8
72	0	0	0	0	0	0	390.4	521.6	601.6	435.2	652.8	422.4	377.6	297.6
73	0	0	0	0	0	0	342.4	656	329.6	396.8	384	473.6	380.8	259.2
74	0	0	0	0	0	0	278.4	384	409.6	377.6	422.4	393.6	348.8	476.8
75	0	0	0	0	0	0	476.8	528	640	588.8	368	624	419.2	294.4
76	0	0	0	0	0	0	518.4	355.2	422.4	355.2	553.6	320	345.6	467.2
77	0	0	0	0	0	0	435.2	540.8	470.4	521.6	307.2	563.2	438.4	403.2
78	0	0	0	0	0	0	416	336	368	288	454.4	508.8	534.4	416
79	0	0	0	0	0	0	483.2	368	588.8	604.8	627.2	320	454.4	352
80	0	0	0	0	0	0	467.2	380.8	528	502.4	502.4	310.4	582.4	352
81	0	0	0	0	0	0	358.4	585.6	358.4	480	272	387.2	345.6	435.2
82	0	0	0	0	0	0	400	643.2	422.4	403.2	326.4	432	601.6	262.4
83	0	0	0	0	0	0	425.6	323.2	412.8	406.4	502.4	611.2	374.4	636.8
84	0	0	0	0	0	0	396.8	294.4	470.4	236.8	457.6	592	457.6	492.8
85	0	0	0	0	0	0	508.8	544	467.2	339.2	374.4	342.4	304	374.4
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=30e6', '--ratio=0.375', '--RngRun=46', '--locationFile=locationtxt/locationFile222.txt', '--routingFile=locationtxt/routingFile222.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
