Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.442s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12	cl-13	cl-14
60	13.6	13	15.6	14.2	15	15	16	14.8	11.8	17.2	14.8	17.6	16.6	12.4
61	0	0	0	0	0	0	803.2	950.4	841.6	464	441.6	796.8	956.8	720
62	0	0	0	0	0	0	470.4	675.2	873.6	486.4	476.8	592	748.8	867.2
63	0	0	0	0	0	0	499.2	537.6	707.2	598.4	502.4	499.2	534.4	790.4
64	0	0	0	0	0	0	716.8	508.8	592	579.2	611.2	633.6	704	816
65	0	0	0	0	0	0	665.6	553.6	518.4	585.6	416	713.6	643.2	576
66	0	0	0	0	0	0	476.8	499.2	416	579.2	560	556.8	646.4	691.2
67	0	0	0	0	0	0	643.2	454.4	656	489.6	595.2	656	563.2	624
68	0	0	0	0	0	0	742.4	489.6	438.4	784	524.8	723.2	438.4	537.6
69	0	0	0	0	0	0	643.2	505.6	400	796.8	643.2	464	524.8	723.2
70	0	0	0	0	0	0	553.6	393.6	713.6	758.4	486.4	636.8	454.4	873.6
71	0	0	0	0	0	0	569.6	534.4	540.8	505.6	678.4	403.2	659.2	524.8
72	0	0	0	0	0	0	624	534.4	505.6	489.6	508.8	464	624	556.8
73	0	0	0	0	0	0	822.4	444.8	572.8	505.6	620.8	649.6	585.6	540.8
74	0	0	0	0	0	0	528	572.8	550.4	544	736	691.2	451.2	723.2
75	0	0	0	0	0	0	710.4	473.6	396.8	342.4	598.4	515.2	966.4	393.6
76	0	0	0	0	0	0	985.6	326.4	713.6	771.2	422.4	636.8	640	457.6
77	0	0	0	0	0	0	816	620.8	480	316.8	329.6	576	809.6	662.4
78	0	0	0	0	0	0	646.4	736	585.6	732.8	368	668.8	601.6	550.4
79	0	0	0	0	0	0	256	982.4	473.6	473.6	272	1036.8	592	707.2
80	0	0	0	0	0	0	758.4	550.4	630.4	457.6	425.6	643.2	732.8	534.4
81	0	0	0	0	0	0	940.8	550.4	662.4	729.6	617.6	483.2	265.6	652.8
82	0	0	0	0	0	0	544	508.8	617.6	620.8	681.6	726.4	377.6	582.4
83	0	0	0	0	0	0	684.8	502.4	707.2	368	652.8	467.2	393.6	681.6
84	0	0	0	0	0	0	595.2	697.6	864	412.8	649.6	521.6	473.6	640
85	0	0	0	0	0	0	828.8	396.8	761.6	524.8	454.4	473.6	672	595.2
86	0	0	0	0	0	0	838.4	572.8	595.2	672	496	723.2	777.6	588.8
87	0	0	0	0	0	0	620.8	534.4	579.2	326.4	361.6	774.4	873.6	787.2
88	0	0	0	0	0	0	585.6	592	492.8	812.8	684.8	579.2	492.8	572.8
89	0	0	0	0	0	0	614.4	812.8	630.4	598.4	672	630.4	595.2	476.8
90	0	0	0	0	0	0	627.2	566.4	934.4	380.8	614.4	617.6	569.6	521.6
avg	0	0	0	0	0	0	660.373	569.28	615.04	556.907	536.747	618.453	612.267	632.32
delay	0.279412	0.276923	0.717949	0.71831	0.746667	0.853333	501.252	504.131	492.957	506.613	507.667	503.169	492.957	506.876
loss	0	0	0	0	0	0	0.318665	0.288462	0.666667	0.314165	0.332861	0.353805	0.657645	0.333832
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=25e6', '--ratio=0.375', '--RngRun=50', '--locationFile=locationtxt/locationFile222.txt', '--routingFile=locationtxt/routingFile222.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
