Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.072s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
60	12.8	11.2	13.4	15.4	13.2	13.6	16	15.6
61	0	0	1660.8	1417.6	1465.6	710.4	1078.4	1158.4
62	0	0	1091.2	796.8	982.4	1187.2	1084.8	1241.6
63	0	0	707.2	982.4	1132.8	1036.8	960	1238.4
64	0	0	1328	822.4	1094.4	1446.4	1020.8	982.4
65	0	0	867.2	1107.2	1376	905.6	1046.4	857.6
66	0	0	956.8	1232	1219.2	713.6	748.8	1347.2
67	0	0	1334.4	963.2	1145.6	816	1072	870.4
68	0	0	1353.6	1107.2	1126.4	729.6	713.6	1200
69	0	0	1136	1046.4	1241.6	784	652.8	1011.2
70	0	0	1084.8	787.2	1414.4	806.4	803.2	1052.8
71	0	0	960	966.4	953.6	1404.8	729.6	1164.8
72	0	0	1126.4	1097.6	960	809.6	1184	1254.4
73	0	0	912	611.2	908.8	1139.2	1344	915.2
74	0	0	1280	764.8	742.4	1027.2	1164.8	1302.4
75	0	0	1027.2	1126.4	780.8	1212.8	1145.6	1088
76	0	0	1187.2	806.4	921.6	771.2	1324.8	732.8
77	0	0	1033.6	934.4	1174.4	1084.8	761.6	985.6
78	0	0	1059.2	928	915.2	924.8	873.6	1625.6
79	0	0	1107.2	905.6	848	1264	934.4	876.8
80	0	0	1328	988.8	1091.2	883.2	636.8	1360
81	0	0	1660.8	633.6	822.4	1145.6	1257.6	1171.2
82	0	0	870.4	1084.8	1670.4	1049.6	873.6	867.2
83	0	0	1129.6	1014.4	748.8	953.6	1139.2	841.6
84	0	0	835.2	1024	1027.2	1267.2	1209.6	1008
85	0	0	1190.4	848	1369.6	1244.8	630.4	873.6
86	0	0	1040	800	1510.4	841.6	1193.6	928
87	0	0	1222.4	1084.8	1472	1305.6	793.6	496
88	0	0	851.2	793.6	1049.6	1702.4	1142.4	956.8
89	0	0	768	1686.4	1033.6	1084.8	780.8	1180.8
90	0	0	604.8	1056	1017.6	825.6	1392	1212.8
avg	0	0	1090.45	980.587	1107.2	1035.95	989.76	1060.05
delay	0.25	0.25	492.022	490.887	500.008	495.999	481.957	497.425
loss	0	0	0.183432	0.207493	0.208029	0.199536	0.533333	0.197719
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=25e6', '--ratio=0.375', '--RngRun=42', '--locationFile=locationtxt/locationFile23.txt', '--routingFile=locationtxt/routingFile23.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
