Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.720s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	13.8	16.8	16.4	16	16.4	14.8	16	14.4	17.8	15
61	0	0	880	1078.4	841.6	886.4	1008	851.2	886.4	947.2
62	0	0	579.2	640	771.2	816	780.8	771.2	755.2	656
63	0	0	438.4	880	742.4	739.2	768	585.6	748.8	550.4
64	0	0	476.8	739.2	713.6	560	771.2	889.6	726.4	592
65	0	0	377.6	544	784	761.6	604.8	918.4	857.6	489.6
66	0	0	569.6	867.2	720	934.4	700.8	688	643.2	496
67	0	0	636.8	531.2	668.8	550.4	598.4	528	723.2	432
68	0	0	627.2	787.2	704	652.8	617.6	563.2	588.8	454.4
69	0	0	755.2	630.4	752	784	764.8	601.6	803.2	432
70	0	0	720	777.6	713.6	822.4	924.8	572.8	588.8	678.4
71	0	0	524.8	688	787.2	809.6	688	614.4	633.6	505.6
72	0	0	508.8	659.2	700.8	755.2	611.2	633.6	646.4	422.4
73	0	0	528	732.8	630.4	598.4	713.6	739.2	710.4	441.6
74	0	0	432	736	572.8	633.6	598.4	736	857.6	611.2
75	0	0	336	662.4	825.6	777.6	684.8	588.8	620.8	688
76	0	0	416	796.8	672	518.4	800	777.6	569.6	457.6
77	0	0	470.4	640	534.4	710.4	681.6	576	841.6	569.6
78	0	0	537.6	444.8	809.6	627.2	576	595.2	870.4	492.8
79	0	0	489.6	630.4	764.8	908.8	640	803.2	720	480
80	0	0	524.8	803.2	864	636.8	630.4	547.2	656	576
81	0	0	582.4	870.4	585.6	748.8	403.2	643.2	694.4	428.8
82	0	0	448	771.2	563.2	876.8	707.2	486.4	614.4	390.4
83	0	0	576	668.8	742.4	582.4	640	496	588.8	489.6
84	0	0	438.4	787.2	851.2	672	787.2	697.6	851.2	355.2
85	0	0	678.4	617.6	608	707.2	720	576	652.8	569.6
86	0	0	416	803.2	636.8	483.2	620.8	992	774.4	700.8
87	0	0	588.8	684.8	784	611.2	822.4	726.4	704	588.8
88	0	0	368	627.2	627.2	576	505.6	636.8	761.6	560
89	0	0	486.4	668.8	681.6	688	681.6	697.6	617.6	438.4
90	0	0	617.6	556.8	790.4	675.2	796.8	694.4	665.6	406.4
avg	0	0	534.293	710.827	714.773	703.467	694.933	674.24	712.427	530.027
delay	0.275362	0.27381	602.305	509.396	554.74	556.2	562.263	553.758	557.884	617.861
loss	0	0	0.876133	0.237342	0.780277	0.780405	0.514776	0.809883	0.516334	0.731343
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=35e6', '--ratio=0.375', '--RngRun=33', '--locationFile=locationtxt/locationFile24.txt', '--routingFile=locationtxt/routingFile24.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
