Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.771s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10
60	15.4	15.4	14.2	13.6	19.6	12.8	14.4	11.8	14.8	12.2
61	0	0	1555.2	1686.4	1433.6	1430.4	950.4	1337.6	1808	1590.4
62	0	0	1113.6	1462.4	2198.4	1324.8	1827.2	1561.6	1500.8	985.6
63	0	0	985.6	1027.2	1286.4	1475.2	1395.2	1225.6	1347.2	908.8
64	0	0	905.6	1062.4	1331.2	1174.4	1331.2	1120	1308.8	758.4
65	0	0	880	988.8	1491.2	1347.2	1436.8	1161.6	1097.6	1094.4
66	0	0	956.8	1184	1264	1331.2	1222.4	1113.6	1072	988.8
67	0	0	854.4	1542.4	1273.6	1372.8	1321.6	1430.4	1545.6	921.6
68	0	0	787.2	1452.8	1315.2	1043.2	1209.6	1369.6	1315.2	921.6
69	0	0	736	1091.2	1273.6	1257.6	1241.6	1292.8	1398.4	889.6
70	0	0	736	1132.8	1318.4	1433.6	1459.2	1440	1104	755.2
71	0	0	921.6	1395.2	1238.4	1401.6	1078.4	1203.2	1196.8	1049.6
72	0	0	761.6	896	1094.4	1049.6	1228.8	1372.8	1408	963.2
73	0	0	908.8	1116.8	1353.6	1542.4	1337.6	1193.6	1260.8	816
74	0	0	886.4	1401.6	1267.2	1283.2	1497.6	841.6	1468.8	844.8
75	0	0	684.8	1392	1305.6	1139.2	1264	1139.2	921.6	889.6
76	0	0	1187.2	1305.6	1251.2	1315.2	1142.4	1200	1094.4	1014.4
77	0	0	867.2	1136	1116.8	1644.8	1190.4	1059.2	1497.6	934.4
78	0	0	777.6	1078.4	1312	1094.4	1177.6	1369.6	1414.4	905.6
