Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.839s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	13.2	17	15.2	11.8	16.6	15.2	14.4	17.2	15.2	14.4	17.6	14
61	0	0	0	454.4	393.6	668.8	592	1094.4	1558.4	979.2	1136	732.8
62	0	0	0	1404.8	1196.8	1353.6	524.8	435.2	537.6	902.4	947.2	969.6
63	0	0	0	720	886.4	505.6	854.4	569.6	972.8	620.8	774.4	812.8
64	0	0	0	713.6	867.2	473.6	646.4	934.4	630.4	592	608	672
65	0	0	0	566.4	598.4	300.8	531.2	761.6	668.8	694.4	841.6	684.8
66	0	0	0	841.6	825.6	448	768	764.8	723.2	720	492.8	784
67	0	0	0	624	652.8	441.6	579.2	681.6	838.4	691.2	627.2	825.6
68	0	0	0	681.6	716.8	595.2	521.6	499.2	780.8	582.4	803.2	646.4
69	0	0	0	742.4	617.6	496	748.8	713.6	656	598.4	854.4	684.8
70	0	0	0	630.4	800	592	784	761.6	886.4	704	640	665.6
71	0	0	0	726.4	752	560	665.6	793.6	854.4	755.2	646.4	828.8
72	0	0	0	851.2	700.8	377.6	636.8	646.4	566.4	636.8	691.2	899.2
73	0	0	0	883.2	902.4	409.6	694.4	582.4	588.8	614.4	595.2	710.4
74	0	0	0	806.4	873.6	700.8	444.8	460.8	534.4	860.8	864	793.6
75	0	0	0	780.8	515.2	454.4	1036.8	928	1062.4	598.4	720	502.4
76	0	0	0	592	864	620.8	659.2	636.8	758.4	486.4	668.8	675.2
77	0	0	0	697.6	748.8	611.2	732.8	819.2	755.2	745.6	972.8	816
78	0	0	0	761.6	777.6	483.2	800	931.2	812.8	512	540.8	675.2
79	0	0	0	944	489.6	499.2	793.6	835.2	896	707.2	873.6	841.6
80	0	0	0	710.4	979.2	640	960	707.2	857.6	761.6	640	774.4
81	0	0	0	614.4	873.6	329.6	774.4	732.8	528	780.8	768	697.6
82	0	0	0	707.2	691.2	534.4	723.2	774.4	995.2	640	579.2	572.8
83	0	0	0	873.6	716.8	464	476.8	774.4	848	745.6	937.6	784
84	0	0	0	672	710.4	435.2	668.8	595.2	796.8	707.2	825.6	592
85	0	0	0	646.4	848	470.4	800	652.8	729.6	499.2	864	704
86	0	0	0	761.6	860.8	441.6	604.8	652.8	534.4	825.6	662.4	636.8
87	0	0	0	595.2	953.6	665.6	672	716.8	796.8	736	880	652.8
88	0	0	0	1088	643.2	566.4	726.4	739.2	716.8	915.2	496	640
89	0	0	0	774.4	515.2	403.2	630.4	700.8	531.2	566.4	662.4	579.2
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=35e6', '--ratio=0.375', '--RngRun=7', '--locationFile=locationtxt/locationFile33.txt', '--routingFile=locationtxt/routingFile33.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
