Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.779s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	15.2	14.6	13.8	12.8
61	3792	3187.2	3267.2	3401.6
62	3558.4	3411.2	4070.4	3836.8
63	4300.8	4112	3859.2	2809.6
64	3734.4	4364.8	3088	3974.4
65	3769.6	4064	3276.8	4121.6
66	3872	3708.8	4076.8	3523.2
67	3788.8	3689.6	3158.4	4512
68	3680	3046.4	4524.8	3756.8
69	4316.8	4217.6	3145.6	3398.4
70	3865.6	2790.4	4579.2	3843.2
71	3513.6	3107.2	4182.4	4416
72	3180.8	3782.4	3574.4	3504
73	3539.2	3548.8	3555.2	3459.2
74	3440	3356.8	3667.2	4214.4
75	2300.8	4784	3251.2	4777.6
76	3539.2	3376	4323.2	3884.8
77	4643.2	3622.4	3257.6	3440
78	5580.8	2876.8	3222.4	3254.4
79	3840	3849.6	3324.8	4019.2
80	3494.4	4464	4284.8	2838.4
81	3331.2	4054.4	4073.6	3574.4
82	4304	4448	2934.4	3481.6
83	4281.6	3113.6	4531.2	3132.8
84	4019.2	4201.6	2956.8	3865.6
85	2992	4867.2	3049.6	4176
86	3283.2	4480	4032	3356.8
87	4339.2	3747.2	3584	3356.8
88	3526.4	4444.8	2748.8	4352
89	3609.6	3926.4	3971.2	3491.2
90	3408	3644.8	4761.6	3046.4
avg	3761.49	3809.6	3677.76	3693.97
delay	252.68	249.841	241.81	249.73
loss	0.00735294	0	0	0.00764818
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=30e6', '--ratio=0.375', '--RngRun=23', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
