Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.414s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4
60	12.6	17.2	13.6	16.6
61	444.8	547.2	483.2	560
62	633.6	729.6	672	617.6
63	480	812.8	633.6	819.2
64	723.2	710.4	473.6	585.6
65	627.2	745.6	636.8	537.6
66	592	665.6	553.6	800
67	787.2	534.4	732.8	729.6
68	764.8	489.6	822.4	694.4
69	636.8	579.2	460.8	774.4
70	592	736	582.4	736
71	780.8	675.2	662.4	707.2
72	579.2	444.8	617.6	592
73	460.8	524.8	544	617.6
74	499.2	630.4	640	636.8
75	588.8	649.6	579.2	460.8
76	563.2	489.6	790.4	848
77	419.2	672	563.2	595.2
78	489.6	502.4	457.6	713.6
79	816	848	604.8	694.4
80	793.6	550.4	627.2	668.8
81	592	656	675.2	672
82	502.4	428.8	848	691.2
83	784	464	585.6	649.6
84	793.6	505.6	694.4	758.4
85	672	624	739.2	537.6
86	784	499.2	649.6	537.6
87	630.4	649.6	691.2	579.2
88	547.2	864	448	752
89	537.6	729.6	659.2	576
90	582.4	496	780.8	544
(1,0)	(2,100)	(3,4)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
(1,0)	(2,0)	(3,0)	(4,0)	
avg	623.253	615.147	630.293	656.213
delay	0.208029	0.96997	0.378223	0.408219
loss	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=5e6', '--ratio=0.375', '--RngRun=1', '--locationFile=locationtxt/locationFile4.txt', '--routingFile=locationtxt/routingFile4.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
