Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.161s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	11.6	14	13.2	15.8	15.2	12.8	17.6	12.4	16.6	15	15.8	16.2
61	1180.8	0	0	0	1510.4	1382.4	1052.8	1369.6	822.4	1043.2	969.6	1388.8
62	1609.6	0	0	0	1475.2	876.8	1507.2	1299.2	1500.8	1347.2	1011.2	659.2
63	1500.8	0	0	0	1046.4	1312	1235.2	848	1289.6	1155.2	1859.2	1536
64	1552	0	0	0	905.6	1427.2	1360	1360	1046.4	1385.6	1603.2	793.6
65	1072	0	0	0	835.2	1164.8	950.4	1072	1529.6	1363.2	1292.8	1123.2
66	1033.6	0	0	0	2102.4	1401.6	1065.6	1552	1257.6	1001.6	1132.8	1024
67	1382.4	0	0	0	1139.2	1052.8	1196.8	1417.6	1536	1638.4	1097.6	1158.4
68	1619.2	0	0	0	1116.8	1043.2	1356.8	1091.2	1347.2	1043.2	1225.6	1488
69	1539.2	0	0	0	1136	1664	1139.2	1267.2	1024	1155.2	1184	1219.2
70	940.8	0	0	0	1478.4	1286.4	1020.8	1216	1433.6	1497.6	1187.2	1235.2
71	1590.4	0	0	0	1225.6	1363.2	880	1180.8	1644.8	1280	1075.2	1088
72	1568	0	0	0	934.4	921.6	1043.2	1353.6	1180.8	1084.8	1372.8	1340.8
73	1068.8	0	0	0	1331.2	1350.4	1116.8	1120	982.4	841.6	1449.6	1212.8
74	1084.8	0	0	0	1056	1068.8	992	1376	1744	1356.8	1052.8	1011.2
75	1558.4	0	0	0	1721.6	908.8	1507.2	1104	1225.6	1756.8	1382.4	860.8
76	1142.4	0	0	0	998.4	1088	1382.4	1171.2	1139.2	1011.2	1289.6	1136
77	1017.6	0	0	0	969.6	1174.4	1276.8	1078.4	1177.6	1248	1571.2	1497.6
78	940.8	0	0	0	1708.8	1600	1481.6	873.6	950.4	1292.8	790.4	1462.4
79	886.4	0	0	0	966.4	1104	1238.4	1254.4	1129.6	1228.8	1139.2	940.8
80	1408	0	0	0	1046.4	1260.8	1171.2	1091.2	1161.6	934.4	1187.2	1337.6
81	969.6	0	0	0	1139.2	1020.8	979.2	1536	1088	1456	1139.2	1017.6
82	1011.2	0	0	0	1616	1344	1276.8	1171.2	982.4	867.2	1430.4	985.6
83	1142.4	0	0	0	1225.6	1072	1385.6	547.2	1993.6	1350.4	1219.2	1177.6
84	1398.4	0	0	0	1574.4	976	1184	1580.8	947.2	1049.6	611.2	1488
85	1129.6	0	0	0	1065.6	1187.2	1232	1398.4	1136	704	1385.6	1564.8
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs5', '--datarate=25e6', '--ratio=0.375', '--RngRun=41', '--locationFile=locationtxt/locationFile42a.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
