Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.743s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	17.6	17.8	15	15.4	14	16.8	14.6	14.2	14.6	16	15.2	15
61	272	0	0	0	198.4	220.8	275.2	259.2	275.2	227.2	256	313.6
62	358.4	0	0	0	336	326.4	249.6	278.4	137.6	329.6	310.4	300.8
63	348.8	0	0	0	281.6	336	252.8	275.2	313.6	243.2	297.6	320
64	348.8	0	0	0	230.4	304	268.8	297.6	249.6	297.6	240	320
65	240	0	0	0	259.2	233.6	281.6	361.6	297.6	249.6	240	332.8
66	192	0	0	0	272	217.6	329.6	185.6	233.6	256	243.2	198.4
67	259.2	0	0	0	355.2	256	313.6	345.6	243.2	240	345.6	275.2
68	297.6	0	0	0	281.6	297.6	275.2	265.6	214.4	316.8	297.6	272
69	262.4	0	0	0	278.4	336	313.6	390.4	297.6	361.6	281.6	272
70	368	0	0	0	262.4	265.6	265.6	336	217.6	233.6	291.2	307.2
71	310.4	0	0	0	265.6	192	304	294.4	272	310.4	195.2	342.4
72	230.4	0	0	0	233.6	256	233.6	249.6	304	304	281.6	329.6
73	272	0	0	0	256	291.2	297.6	329.6	281.6	409.6	345.6	339.2
74	320	0	0	0	272	313.6	240	368	326.4	233.6	217.6	288
75	310.4	0	0	0	281.6	339.2	227.2	329.6	291.2	313.6	227.2	249.6
76	288	0	0	0	390.4	278.4	201.6	288	249.6	262.4	326.4	249.6
77	259.2	0	0	0	281.6	272	256	198.4	233.6	329.6	355.2	297.6
78	323.2	0	0	0	297.6	297.6	262.4	310.4	217.6	288	310.4	227.2
79	393.6	0	0	0	224	275.2	208	272	208	272	348.8	256
80	249.6	0	0	0	262.4	336	256	240	336	208	281.6	297.6
81	281.6	0	0	0	304	368	265.6	364.8	336	275.2	230.4	246.4
82	288	0	0	0	320	304	256	284.8	361.6	230.4	288	211.2
83	281.6	0	0	0	249.6	281.6	361.6	217.6	329.6	288	240	297.6
84	345.6	0	0	0	265.6	252.8	339.2	185.6	243.2	211.2	368	192
85	272	0	0	0	272	281.6	275.2	374.4	233.6	313.6	307.2	121.6
86	256	0	0	0	227.2	272	304	329.6	243.2	217.6	240	243.2
87	259.2	0	0	0	201.6	272	345.6	320	329.6	281.6	313.6	249.6
88	281.6	0	0	0	281.6	227.2	246.4	320	224	240	230.4	246.4
89	262.4	0	0	0	211.2	281.6	240	278.4	265.6	265.6	224	249.6
90	339.2	0	0	0	310.4	281.6	265.6	259.2	240	291.2	281.6	310.4
avg	292.373	0	0	0	272.107	282.24	273.707	293.653	266.88	276.693	280.533	271.893
delay	0.673203	0.325843	0.24	0.233766	1.44785	1.10938	1.0625	1.40491	1.09524	1.17424	2.82895	1.07087
loss	0	0	0	0	0	0	0	0	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs6', '--datarate=5e6', '--ratio=0.375', '--RngRun=28', '--locationFile=locationtxt/locationFile42a.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
