Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.347s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	13.6	17	16.6	16	15	17.4	12.6	13.4	17.8	14.8	15	12
61	1030.4	1276.8	0	0	796.8	966.4	972.8	1177.6	1331.2	1254.4	1276.8	1360
62	1395.2	1056	0	0	1449.6	1168	1523.2	1715.2	1043.2	1049.6	1392	1193.6
63	1264	1190.4	0	0	1072	1520	1110.4	1168	1606.4	1164.8	1526.4	1337.6
64	1376	928	0	0	1206.4	1305.6	1414.4	1280	1187.2	1139.2	1270.4	1180.8
65	1027.2	1142.4	0	0	764.8	640	1158.4	1148.8	1280	1248	1427.2	1216
66	1337.6	950.4	0	0	1350.4	1100.8	1027.2	1228.8	1203.2	1068.8	1081.6	1388.8
67	768	1084.8	0	0	976	1251.2	1116.8	1059.2	1273.6	1270.4	1164.8	1177.6
68	1014.4	1100.8	0	0	1004.8	1264	1126.4	1078.4	1465.6	1081.6	1312	1276.8
69	1360	1187.2	0	0	924.8	979.2	1248	1043.2	1254.4	1542.4	1081.6	1094.4
70	1248	848	0	0	1164.8	950.4	1360	745.6	1292.8	1123.2	1155.2	1427.2
71	953.6	992	0	0	1011.2	521.6	1088	1190.4	1116.8	1174.4	1094.4	1084.8
72	1148.8	886.4	0	0	969.6	931.2	985.6	1120	1308.8	1004.8	1027.2	1171.2
73	1395.2	1513.6	0	0	1267.2	1017.6	806.4	1072	1286.4	1500.8	1628.8	1328
74	1235.2	1443.2	0	0	1040	1228.8	950.4	1363.2	1011.2	1068.8	1116.8	1302.4
75	1209.6	992	0	0	1107.2	780.8	1334.4	1350.4	1286.4	1158.4	1152	1129.6
76	1110.4	1443.2	0	0	1366.4	1433.6	1388.8	1132.8	1206.4	672	1347.2	1555.2
77	1212.8	1196.8	0	0	979.2	1484.8	825.6	1289.6	1123.2	1078.4	1510.4	1033.6
78	1235.2	928	0	0	1177.6	1123.2	1299.2	828.8	1686.4	1657.6	1030.4	985.6
79	1424	1772.8	0	0	1120	1337.6	1219.2	937.6	1280	1417.6	1520	777.6
80	1084.8	1644.8	0	0	1040	1107.2	1526.4	1027.2	1139.2	1449.6	1315.2	1142.4
81	1622.4	1030.4	0	0	1379.2	873.6	1184	1203.2	1296	1363.2	1280	1222.4
82	1222.4	1174.4	0	0	1209.6	825.6	1280	1171.2	1286.4	1040	1120	1043.2
83	1190.4	1443.2	0	0	934.4	1158.4	1280	1059.2	1404.8	1113.6	1446.4	1267.2
84	1577.6	1488	0	0	1193.6	1187.2	1174.4	953.6	1635.2	1417.6	1139.2	1116.8
85	1273.6	1206.4	0	0	1110.4	921.6	1305.6	1497.6	982.4	1571.2	1302.4	1411.2
86	1260.8	1443.2	0	0	1558.4	963.2	1248	1305.6	956.8	1225.6	1257.6	1657.6
87	979.2	1072	0	0	1174.4	822.4	1014.4	1385.6	1513.6	1385.6	1216	1091.2
88	1145.6	953.6	0	0	985.6	774.4	1094.4	1126.4	1376	1289.6	1308.8	1408
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs6', '--datarate=30e6', '--ratio=0.375', '--RngRun=1', '--locationFile=locationtxt/locationFile42b1.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
