Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.713s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	13.2	14.2	14	16	12.4	18.4	13.6	15	13	16	13.4	13.8
61	588.8	0	793.6	0	723.2	774.4	524.8	665.6	697.6	662.4	640	691.2
62	784	0	848	0	678.4	771.2	832	774.4	572.8	902.4	521.6	748.8
63	678.4	0	809.6	0	697.6	707.2	761.6	844.8	428.8	704	745.6	908.8
64	841.6	0	796.8	0	707.2	691.2	764.8	800	636.8	614.4	729.6	835.2
65	889.6	0	656	0	672	483.2	870.4	864	803.2	665.6	812.8	924.8
66	668.8	0	716.8	0	816	793.6	678.4	864	809.6	857.6	1027.2	860.8
67	348.8	0	713.6	0	662.4	825.6	867.2	883.2	710.4	659.2	678.4	768
68	892.8	0	848	0	979.2	896	848	691.2	1004.8	854.4	697.6	726.4
69	864	0	761.6	0	547.2	758.4	889.6	752	704	672	649.6	768
70	710.4	0	627.2	0	800	745.6	851.2	1001.6	841.6	630.4	553.6	857.6
71	579.2	0	822.4	0	739.2	816	944	614.4	729.6	838.4	793.6	729.6
72	896	0	390.4	0	950.4	819.2	809.6	819.2	582.4	691.2	787.2	588.8
73	563.2	0	608	0	902.4	681.6	649.6	588.8	704	595.2	710.4	835.2
74	540.8	0	723.2	0	860.8	697.6	822.4	816	998.4	761.6	771.2	790.4
75	828.8	0	854.4	0	816	652.8	630.4	832	796.8	915.2	755.2	684.8
76	822.4	0	915.2	0	822.4	940.8	723.2	828.8	649.6	758.4	576	880
77	601.6	0	742.4	0	608	729.6	854.4	566.4	864	771.2	723.2	889.6
78	796.8	0	665.6	0	713.6	704	880	617.6	928	851.2	963.2	758.4
79	448	0	800	0	736	732.8	822.4	627.2	860.8	902.4	758.4	608
80	675.2	0	928	0	950.4	883.2	643.2	736	659.2	652.8	896	835.2
81	755.2	0	873.6	0	809.6	550.4	796.8	742.4	892.8	784	896	758.4
82	675.2	0	992	0	784	774.4	643.2	739.2	864	665.6	784	617.6
83	803.2	0	790.4	0	668.8	694.4	816	598.4	752	838.4	694.4	697.6
84	851.2	0	928	0	864	726.4	352	777.6	1036.8	515.2	764.8	809.6
85	521.6	0	672	0	838.4	566.4	710.4	748.8	940.8	742.4	771.2	684.8
86	748.8	0	764.8	0	729.6	694.4	659.2	793.6	668.8	697.6	608	851.2
87	614.4	0	876.8	0	1024	764.8	956.8	556.8	608	608	816	473.6
88	614.4	0	912	0	457.6	640	636.8	617.6	937.6	726.4	534.4	694.4
89	643.2	0	822.4	0	796.8	844.8	748.8	681.6	748.8	742.4	940.8	838.4
90	620.8	0	819.2	0	979.2	841.6	537.6	790.4	608	806.4	544	992
avg	695.573	0	782.4	0	777.813	740.053	750.827	741.12	768	736.213	738.133	770.24
delay	8.51743	0.253521	7.57717	0.25	9.31965	9.94044	12.9491	9.61398	9.69302	12.1317	9.21176	10.3341
loss	0	0	0	0	0	0	0	0	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=15e6', '--ratio=0.375', '--RngRun=8', '--locationFile=locationtxt/locationFile42b2.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
