Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.762s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	15.4	17	15	15.2	12.2	13.4	16.8	15.8	15.8	16.6	16.8	12.4
61	438.4	515.2	841.6	0	521.6	684.8	790.4	643.2	451.2	860.8	755.2	752
62	713.6	521.6	544	0	384	540.8	518.4	409.6	457.6	659.2	486.4	467.2
63	659.2	515.2	441.6	0	550.4	345.6	608	540.8	345.6	211.2	598.4	624
64	576	611.2	425.6	0	291.2	358.4	374.4	304	832	768	412.8	668.8
65	384	489.6	342.4	0	547.2	435.2	473.6	595.2	425.6	304	531.2	502.4
66	416	444.8	358.4	0	470.4	348.8	425.6	316.8	707.2	435.2	614.4	518.4
67	416	665.6	508.8	0	524.8	396.8	614.4	576	409.6	297.6	278.4	272
68	435.2	230.4	598.4	0	608	403.2	627.2	358.4	419.2	611.2	374.4	204.8
69	566.4	320	272	0	291.2	396.8	438.4	540.8	313.6	352	672	796.8
70	467.2	531.2	592	0	454.4	332.8	400	374.4	400	457.6	496	483.2
71	361.6	448	374.4	0	480	262.4	502.4	528	672	614.4	553.6	608
72	313.6	448	505.6	0	582.4	323.2	483.2	451.2	368	547.2	464	345.6
73	588.8	576	422.4	0	393.6	348.8	134.4	217.6	460.8	380.8	633.6	537.6
74	483.2	393.6	252.8	0	553.6	390.4	444.8	803.2	470.4	496	556.8	419.2
75	355.2	608	323.2	0	156.8	153.6	515.2	422.4	444.8	400	729.6	784
76	480	320	569.6	0	611.2	476.8	435.2	627.2	342.4	278.4	726.4	448
77	387.2	489.6	358.4	0	425.6	396.8	230.4	492.8	499.2	454.4	540.8	425.6
78	515.2	508.8	329.6	0	531.2	489.6	518.4	345.6	396.8	390.4	608	582.4
79	496	396.8	307.2	0	361.6	294.4	560	428.8	547.2	566.4	361.6	371.2
80	496	316.8	364.8	0	310.4	371.2	809.6	505.6	470.4	438.4	652.8	364.8
81	518.4	537.6	390.4	0	537.6	281.6	342.4	636.8	460.8	355.2	454.4	400
82	512	352	518.4	0	630.4	585.6	304	470.4	339.2	444.8	662.4	412.8
83	252.8	396.8	300.8	0	358.4	156.8	460.8	656	569.6	518.4	566.4	384
84	323.2	320	371.2	0	624	560	150.4	224	332.8	313.6	524.8	848
85	515.2	364.8	313.6	0	320	313.6	822.4	713.6	547.2	406.4	480	598.4
86	595.2	368	393.6	0	464	492.8	262.4	476.8	422.4	518.4	524.8	614.4
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=30e6', '--ratio=0.375', '--RngRun=24', '--locationFile=locationtxt/locationFile42c.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
