Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.752s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	15.6	12.8	14.8	13	14	14	14.2	16.4	14.6	18.4	12.6	15.6
61	1369.6	1286.4	982.4	0	771.2	1443.2	1139.2	860.8	1296	1155.2	1068.8	915.2
62	1129.6	1369.6	1283.2	0	684.8	1427.2	1238.4	896	1142.4	1011.2	1366.4	1283.2
63	793.6	1107.2	966.4	0	963.2	1174.4	944	1177.6	1046.4	1379.2	1411.2	1497.6
64	1113.6	1219.2	1136	0	1168	1075.2	1376	1264	1030.4	1184	1052.8	1225.6
65	995.2	1062.4	886.4	0	902.4	774.4	1286.4	1225.6	851.2	921.6	1139.2	1398.4
66	764.8	1129.6	992	0	838.4	979.2	1132.8	1372.8	979.2	1017.6	1209.6	976
67	1033.6	1033.6	880	0	1084.8	784	742.4	1020.8	1238.4	966.4	1004.8	1116.8
68	1030.4	1308.8	956.8	0	1472	812.8	1091.2	1257.6	1065.6	1008	1081.6	979.2
69	1331.2	1168	800	0	1225.6	902.4	860.8	908.8	1078.4	1123.2	1043.2	1052.8
70	1091.2	870.4	716.8	0	1238.4	652.8	1059.2	1142.4	1184	838.4	1244.8	1084.8
71	1129.6	899.2	793.6	0	1017.6	1129.6	1251.2	1120	745.6	998.4	950.4	1264
72	880	928	678.4	0	940.8	915.2	956.8	1078.4	1232	1008	1145.6	1299.2
73	1027.2	1078.4	1417.6	0	1008	892.8	1171.2	1372.8	889.6	1008	988.8	1190.4
74	1177.6	1030.4	1206.4	0	1148.8	992	1347.2	1174.4	844.8	1318.4	960	1091.2
75	1209.6	880	982.4	0	1363.2	921.6	1315.2	1040	1043.2	806.4	969.6	1040
76	992	848	1043.2	0	1020.8	1004.8	1110.4	1152	1059.2	1049.6	1155.2	1100.8
77	1305.6	796.8	963.2	0	1152	832	1238.4	1001.6	928	1177.6	944	1068.8
78	1235.2	1072	700.8	0	1049.6	796.8	998.4	960	1033.6	995.2	1107.2	985.6
79	1068.8	1052.8	851.2	0	1110.4	950.4	1027.2	1052.8	931.2	1286.4	796.8	1129.6
80	1139.2	1024	1017.6	0	1296	1276.8	1033.6	1187.2	1110.4	854.4	1014.4	963.2
81	1011.2	1248	1120	0	1072	1404.8	662.4	950.4	976	787.2	1289.6	1497.6
82	1228.8	1222.4	816	0	988.8	998.4	1113.6	870.4	886.4	825.6	1203.2	1302.4
83	1344	1078.4	992	0	1206.4	1027.2	966.4	876.8	896	1011.2	1027.2	1187.2
84	1004.8	947.2	694.4	0	1171.2	742.4	956.8	1116.8	1129.6	1123.2	892.8	998.4
85	1228.8	1289.6	934.4	0	1113.6	787.2	1171.2	995.2	1113.6	771.2	1283.2	1078.4
86	1312	867.2	1065.6	0	1235.2	768	1049.6	1264	1072	838.4	976	921.6
87	1532.8	1379.2	918.4	0	1088	787.2	931.2	1024	1036.8	825.6	1059.2	1289.6
88	1289.6	1212.8	1065.6	0	908.8	822.4	1084.8	1052.8	1187.2	1283.2	947.2	1113.6
89	1113.6	976	816	0	912	960	1283.2	1040	1382.4	764.8	809.6	1196.8
90	1152	873.6	892.8	0	1091.2	729.6	979.2	713.6	976	745.6	921.6	1312
avg	1134.51	1075.31	952.32	0	1074.77	958.827	1083.95	1072.32	1046.19	1002.77	1068.8	1152
delay	472.344	472.68	477.942	0.292308	458.476	466.389	451.435	462.562	474.149	473.712	493.842	472.852
loss	0.102941	0.160237	0.0398089	0	0.0294118	0.030837	0.0327332	0.032	0.125	0.0452962	0.141944	0.0205371
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs6', '--datarate=30e6', '--ratio=0.375', '--RngRun=18', '--locationFile=locationtxt/locationFile42c.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
