Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (1.145s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	18.4	13.2	14	16.4	10	14	11.2	15.8	14.8	15.6	9.4	15.8
61	585.6	758.4	537.6	899.2	752	764.8	489.6	924.8	636.8	768	918.4	585.6
62	748.8	403.2	937.6	512	780.8	768	796.8	611.2	492.8	569.6	1078.4	627.2
63	540.8	412.8	729.6	464	566.4	585.6	512	819.2	726.4	732.8	768	809.6
64	825.6	899.2	640	528	403.2	483.2	547.2	486.4	540.8	569.6	892.8	627.2
65	611.2	684.8	716.8	720	387.2	480	969.6	713.6	592	806.4	444.8	870.4
66	688	777.6	662.4	915.2	777.6	710.4	752	668.8	576	688	691.2	576
67	614.4	614.4	905.6	467.2	643.2	451.2	809.6	691.2	556.8	569.6	646.4	921.6
68	876.8	867.2	723.2	707.2	809.6	752	761.6	899.2	563.2	480	812.8	224
69	723.2	598.4	812.8	569.6	681.6	694.4	572.8	809.6	601.6	624	784	486.4
70	713.6	755.2	460.8	713.6	704	515.2	809.6	592	393.6	854.4	630.4	713.6
71	758.4	816	550.4	656	531.2	691.2	547.2	643.2	835.2	844.8	566.4	483.2
72	860.8	672	486.4	681.6	681.6	809.6	592	736	870.4	425.6	409.6	720
73	905.6	640	784	649.6	604.8	752	585.6	601.6	521.6	912	611.2	451.2
74	576	764.8	876.8	560	947.2	652.8	595.2	806.4	364.8	576	435.2	691.2
75	662.4	774.4	691.2	592	646.4	556.8	784	851.2	448	566.4	688	668.8
76	547.2	854.4	505.6	796.8	652.8	688	576	553.6	569.6	518.4	547.2	1027.2
77	585.6	844.8	640	630.4	803.2	656	640	649.6	518.4	384	944	614.4
78	691.2	761.6	617.6	838.4	672	540.8	393.6	550.4	867.2	729.6	656	649.6
79	694.4	723.2	768	841.6	736	627.2	841.6	713.6	627.2	326.4	544	848
80	889.6	764.8	566.4	732.8	771.2	409.6	502.4	828.8	704	1091.2	489.6	566.4
81	803.2	761.6	649.6	998.4	598.4	700.8	739.2	576	460.8	716.8	704	470.4
82	1110.4	819.2	633.6	755.2	870.4	601.6	486.4	732.8	432	534.4	937.6	611.2
83	492.8	835.2	640	630.4	428.8	860.8	531.2	825.6	652.8	819.2	640	547.2
84	732.8	617.6	700.8	704	524.8	796.8	697.6	422.4	752	614.4	633.6	838.4
85	780.8	595.2	972.8	960	873.6	755.2	454.4	710.4	675.2	563.2	444.8	608
86	636.8	204.8	672	460.8	624	960	560	710.4	300.8	713.6	726.4	768
87	489.6	736	582.4	592	812.8	883.2	576	739.2	707.2	489.6	736	489.6
88	409.6	566.4	732.8	595.2	704	496	627.2	681.6	899.2	771.2	560	748.8
89	620.8	640	934.4	774.4	864	707.2	627.2	505.6	854.4	358.4	784	566.4
90	857.6	432	790.4	624	569.6	803.2	732.8	691.2	633.6	844.8	697.6	406.4
avg	701.12	686.507	697.387	685.653	680.747	671.787	637.013	691.52	612.48	648.747	680.747	640.533
delay	488.142	491.2	491.983	474.86	487.858	485.562	489.619	484.418	490.246	484.478	492.746	491.671
loss	0.377395	0.124726	0.162353	0.322772	0.107078	0.140693	0.15993	0.123543	0.109375	0.400802	0.136659	0.125786
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs3', '--datarate=25e6', '--ratio=0.375', '--RngRun=26', '--locationFile=locationtxt/locationFile42d.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
