Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.821s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	14.8	15.4	16	11.8	17.2	12.6	14.2	10.4	15	14.8	17.8	12.6
61	851.2	1110.4	950.4	1052.8	1043.2	1004.8	982.4	828.8	1084.8	1190.4	1401.6	899.2
62	934.4	1497.6	1049.6	1260.8	1264	1116.8	1136	940.8	1340.8	1206.4	1001.6	1302.4
63	1139.2	1254.4	1171.2	1302.4	988.8	1430.4	1542.4	1702.4	739.2	729.6	1286.4	1132.8
64	1257.6	819.2	1337.6	918.4	1257.6	1036.8	1193.6	1040	1673.6	1136	774.4	870.4
65	992	1606.4	1180.8	947.2	1161.6	844.8	1251.2	1491.2	1507.2	985.6	1427.2	1155.2
66	1600	1142.4	1171.2	1248	1193.6	908.8	982.4	1260.8	796.8	1072	908.8	1027.2
67	1379.2	998.4	1328	912	921.6	1398.4	1302.4	1219.2	1366.4	1110.4	924.8	1187.2
68	1062.4	1513.6	1193.6	1321.6	1148.8	1129.6	1065.6	1360	1030.4	1433.6	1100.8	1219.2
69	1011.2	1036.8	1424	1104	1401.6	937.6	944	1190.4	982.4	1459.2	1414.4	790.4
70	1321.6	905.6	1462.4	1139.2	1558.4	1129.6	774.4	1468.8	1228.8	1033.6	1158.4	972.8
71	1193.6	1440	1040	790.4	1158.4	1244.8	1225.6	1280	902.4	960	1561.6	1161.6
72	1296	937.6	1027.2	908.8	1356.8	851.2	963.2	1321.6	1296	1078.4	969.6	1110.4
73	1283.2	838.4	832	1334.4	1120	896	1321.6	1081.6	832	1190.4	1136	988.8
74	1212.8	924.8	1152	1091.2	976	892.8	1081.6	953.6	880	1222.4	1376	1273.6
75	899.2	960	1267.2	1286.4	1196.8	892.8	1363.2	1094.4	1046.4	963.2	1043.2	1225.6
76	1267.2	1027.2	1097.6	1094.4	1321.6	1036.8	1209.6	1232	1014.4	860.8	969.6	1318.4
77	1315.2	1075.2	902.4	851.2	1152	678.4	1116.8	947.2	912	899.2	1353.6	1161.6
78	1004.8	1187.2	809.6	720	1132.8	1062.4	1168	892.8	992	873.6	1222.4	1379.2
79	1260.8	963.2	1017.6	1305.6	979.2	1046.4	1184	1251.2	1587.2	992	1216	1056
80	1008	1049.6	1075.2	1270.4	1091.2	924.8	985.6	1193.6	1062.4	944	985.6	979.2
81	1260.8	1344	1372.8	1100.8	1027.2	924.8	1033.6	992	1257.6	761.6	1292.8	1164.8
82	1244.8	1024	812.8	1216	1235.2	1292.8	1078.4	960	857.6	1241.6	1011.2	1379.2
83	1136	822.4	976	1052.8	1097.6	1369.6	1164.8	790.4	1299.2	892.8	1536	1129.6
84	1235.2	953.6	1116.8	905.6	921.6	748.8	1190.4	1072	1097.6	1244.8	1500.8	1136
85	1337.6	1366.4	1376	1491.2	1168	1228.8	835.2	1187.2	1174.4	944	1222.4	1056
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs6', '--datarate=30e6', '--ratio=0.375', '--RngRun=49', '--locationFile=locationtxt/locationFile42d.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
