Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.681s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	10.2	15.2	11.2	16.8	14.4	19	15.8	12.8	18.6	16.2	12.6	13.8
61	1206.4	0	953.6	0	1568	0	937.6	1193.6	1097.6	0	1296	1091.2
62	1040	0	1446.4	0	1027.2	0	1504	1436.8	1433.6	0	1056	1331.2
63	1552	0	1398.4	0	809.6	0	1398.4	918.4	1388.8	0	1484.8	1427.2
64	1507.2	0	1699.2	0	1244.8	0	1177.6	1376	1436.8	0	944	1267.2
65	1168	0	1484.8	0	1475.2	0	1686.4	1187.2	982.4	0	998.4	1046.4
66	1331.2	0	1158.4	0	1420.8	0	1801.6	1193.6	1120	0	1008	1513.6
67	1452.8	0	1625.6	0	1129.6	0	1337.6	1244.8	1376	0	1644.8	1158.4
68	1100.8	0	1280	0	1158.4	0	1568	1360	1584	0	985.6	1369.6
69	1344	0	940.8	0	1164.8	0	1299.2	988.8	1414.4	0	1689.6	1235.2
70	1232	0	1270.4	0	1110.4	0	1408	1462.4	969.6	0	1184	1315.2
71	1408	0	1248	0	1577.6	0	1328	1414.4	940.8	0	873.6	1276.8
72	1196.8	0	1190.4	0	966.4	0	1267.2	1132.8	1366.4	0	953.6	1078.4
73	1027.2	0	1040	0	1603.2	0	944	1702.4	1308.8	0	1443.2	1382.4
74	1315.2	0	1427.2	0	1033.6	0	1462.4	1209.6	1504	0	1052.8	1027.2
75	902.4	0	1894.4	0	1152	0	1276.8	1699.2	1116.8	0	1414.4	1142.4
76	1238.4	0	1344	0	1286.4	0	992	1427.2	1065.6	0	1852.8	1504
77	1100.8	0	1283.2	0	1344	0	1251.2	1315.2	1001.6	0	1267.2	1609.6
78	1472	0	838.4	0	873.6	0	1347.2	1334.4	1676.8	0	854.4	1286.4
79	1699.2	0	1104	0	931.2	0	1203.2	1292.8	1289.6	0	1033.6	876.8
80	835.2	0	1641.6	0	1840	0	1174.4	1209.6	1363.2	0	1433.6	1155.2
81	1129.6	0	1443.2	0	1273.6	0	1203.2	1379.2	1270.4	0	1516.8	1430.4
82	1382.4	0	1097.6	0	1155.2	0	1379.2	1081.6	876.8	0	1344	1456
83	1481.6	0	713.6	0	1190.4	0	764.8	963.2	1417.6	0	1254.4	1392
84	1241.6	0	1609.6	0	1340.8	0	1280	950.4	1609.6	0	1094.4	985.6
85	1052.8	0	1558.4	0	857.6	0	1385.6	1171.2	1257.6	0	1100.8	1008
86	1052.8	0	873.6	0	870.4	0	1027.2	1190.4	1497.6	0	1379.2	1449.6
87	1356.8	0	841.6	0	1260.8	0	1449.6	1340.8	1312	0	1420.8	1244.8
88	1209.6	0	1097.6	0	1558.4	0	1110.4	1225.6	1382.4	0	1251.2	1049.6
89	1353.6	0	876.8	0	1088	0	1510.4	1536	1449.6	0	918.4	1174.4
90	1017.6	0	1395.2	0	1129.6	0	1286.4	1417.6	1056	0	1318.4	1510.4
avg	1246.93	0	1259.2	0	1214.72	0	1292.05	1278.51	1285.55	0	1235.63	1259.84
delay	19.645	0.276316	21.0151	0.261905	20.71	0.884211	19.7529	21.9986	19.8105	0.728395	24.2171	22.324
loss	0	0	0	0	0	0	0	0	0	0	0	0
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=false', '--rtscts=1', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=20e6', '--ratio=0.375', '--RngRun=43', '--locationFile=locationtxt/locationFile42e2.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGSEGV. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
