Waf: Entering directory `/home/ubuntu/ns-3.30-obss/build'
Waf: Leaving directory `/home/ubuntu/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.879s)
--------------------------Rate[Kbps]--------------------------
Time[s]	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8	cl-9	cl-10	cl-11	cl-12
60	16.2	13.2	15	13.8	15.4	15	14.6	15.2	13.4	14.4	15.6	14.6
61	1148.8	0	774.4	0	1068.8	0	1478.4	976	1414.4	0	873.6	572.8
62	1824	0	1088	0	1139.2	0	1654.4	985.6	720	0	777.6	1132.8
63	912	0	953.6	0	998.4	0	867.2	921.6	390.4	0	1408	1398.4
64	1014.4	0	1011.2	0	1056	0	934.4	819.2	1078.4	0	1020.8	640
65	1392	0	1161.6	0	1081.6	0	595.2	739.2	1036.8	0	758.4	1228.8
66	870.4	0	1024	0	809.6	0	1443.2	1036.8	707.2	0	1177.6	1033.6
67	1456	0	848	0	838.4	0	1238.4	784	774.4	0	1184	950.4
68	838.4	0	1001.6	0	889.6	0	1008	1017.6	928	0	1052.8	809.6
69	902.4	0	796.8	0	806.4	0	784	1020.8	1235.2	0	803.2	844.8
70	1104	0	1030.4	0	1126.4	0	697.6	697.6	889.6	0	940.8	809.6
71	985.6	0	1132.8	0	1020.8	0	1046.4	873.6	937.6	0	684.8	736
72	892.8	0	1158.4	0	1123.2	0	1500.8	1158.4	726.4	0	678.4	742.4
73	582.4	0	1222.4	0	1107.2	0	675.2	678.4	1001.6	0	1398.4	1360
74	672	0	822.4	0	1148.8	0	745.6	620.8	889.6	0	883.2	953.6
75	1235.2	0	1155.2	0	988.8	0	1084.8	1072	1004.8	0	924.8	950.4
76	899.2	0	953.6	0	896	0	860.8	790.4	921.6	0	736	835.2
77	1132.8	0	1004.8	0	809.6	0	720	681.6	1017.6	0	1177.6	1030.4
78	1113.6	0	960	0	1056	0	1139.2	876.8	1020.8	0	812.8	774.4
79	1046.4	0	1193.6	0	1344	0	937.6	1027.2	883.2	0	969.6	774.4
80	1091.2	0	668.8	0	636.8	0	953.6	828.8	969.6	0	883.2	1123.2
81	966.4	0	1196.8	0	1081.6	0	851.2	1273.6	576	0	656	1203.2
82	1068.8	0	883.2	0	1193.6	0	1107.2	880	1072	0	739.2	889.6
83	838.4	0	1344	0	844.8	0	1088	851.2	1404.8	0	624	1094.4
84	803.2	0	902.4	0	816	0	768	1011.2	928	0	672	1011.2
85	1292.8	0	896	0	953.6	0	665.6	611.2	896	0	1094.4	1088
msg="Invalid WifiPhy state.", file=../src/wifi/model/wifi-phy-state-helper.cc, line=410
terminate called without an active exception
Command ['/home/ubuntu/ns-3.30-obss/build/scratch/simple-ofdma-adhoc6', '--ofdmaEnabled=true', '--startTime=60', '--totalTime=90', '--packetSize=4e3', '--dataMode=HeMcs4', '--datarate=30e6', '--ratio=0.375', '--RngRun=31', '--locationFile=locationtxt/locationFile42e2.txt', '--routingFile=locationtxt/routingFile42.txt', '--appFile=locationtxt/appFile.txt', '--tcp=0', '--randomTime=true', '--qosDisabled=true'] terminated with signal SIGIOT. Run it under a debugger to get more information (./waf --run <program> --command-template="gdb --args %s <args>").
