Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.346s)
CreateVariables () DONE !!!
Creating 4 APs 30.00 and 75.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
Attribute 'ShortGuardEnabled' is deprecated: Use the HtConfiguration instead
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
11.00	-1.00	4.99	-1.00	4.99
12.00	-1.00	5.00	-1.00	4.99
13.00	-1.00	4.99	-1.00	5.00
14.00	-1.00	5.00	-1.00	5.00
15.00	-1.00	4.99	-1.00	4.99
16.00	-1.00	5.00	-1.00	5.00
17.00	-1.00	5.00	-1.00	4.99
18.00	-1.00	4.99	-1.00	5.00
19.00	-1.00	5.00	-1.00	5.00
20.00	-1.00	4.99	-1.00	4.99
21.00	-1.00	10.00	-1.00	9.99
22.00	-1.00	10.00	-1.00	10.00
23.00	-1.00	10.00	-1.00	10.01
24.00	-1.00	10.00	-1.00	10.00
25.00	-1.00	10.00	-1.00	10.00
26.00	-1.00	10.00	-1.00	10.00
27.00	-1.00	10.01	-1.00	10.00
28.00	-1.00	10.00	-1.00	10.01
29.00	-1.00	10.00	-1.00	10.00
30.00	-1.00	10.00	-1.00	10.00
31.00	-1.00	14.99	-1.00	14.99
32.00	-1.00	15.00	-1.00	14.99
33.00	-1.00	15.00	-1.00	15.00
34.00	-1.00	14.99	-1.00	15.00
35.00	-1.00	15.00	-1.00	15.00
36.00	-1.00	15.00	-1.00	15.00
37.00	-1.00	15.00	-1.00	14.99
38.00	-1.00	14.99	-1.00	15.00
39.00	-1.00	15.00	-1.00	15.00
40.00	-1.00	15.00	-1.00	15.00
41.00	-1.00	19.98	-1.00	19.97
42.00	-1.00	20.01	-1.00	20.01
43.00	-1.00	20.00	-1.00	20.00
44.00	-1.00	20.00	-1.00	20.01
45.00	-1.00	20.01	-1.00	19.98
46.00	-1.00	19.98	-1.00	20.01
47.00	-1.00	20.01	-1.00	20.01
48.00	-1.00	20.00	-1.00	20.01
49.00	-1.00	20.01	-1.00	19.98
50.00	-1.00	19.98	-1.00	20.01
51.00	-1.00	24.94	-1.00	24.97
52.00	-1.00	21.80	-1.00	19.90
53.00	-1.00	28.24	-1.00	30.12
54.00	-1.00	23.68	-1.00	24.01
55.00	-1.00	18.83	-1.00	17.88
56.00	-1.00	31.61	-1.00	32.24
57.00	-1.00	25.82	-1.00	25.82
58.00	-1.00	24.08	-1.00	22.95
59.00	-1.00	25.90	-1.00	27.00
60.00	-1.00	16.50	-1.00	12.93
61.00	-1.00	38.45	-1.00	8.68
62.00	-1.00	30.01	-1.00	0.00
63.00	-1.00	30.01	-1.00	0.00
64.00	-1.00	29.99	-1.00	0.00
65.00	-1.00	30.01	-1.00	0.00
66.00	-1.00	29.99	-1.00	0.00
67.00	-1.00	30.01	-1.00	0.00
68.00	-1.00	29.99	-1.00	0.00
69.00	-1.00	30.01	-1.00	0.00
70.00	-1.00	30.01	-1.00	0.00
71.00	-1.00	34.97	-1.00	0.00
72.00	-1.00	35.01	-1.00	0.00
73.00	-1.00	35.00	-1.00	0.00
74.00	-1.00	35.00	-1.00	0.00
Interrupted 
