Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.375s)
CreateVariables () DONE !!!
Creating 4 APs 30.00 and 75.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
Attribute 'ShortGuardEnabled' is deprecated: Use the HtConfiguration instead
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
Static Routing Rules Set.
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 200.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3
11.00	-1.00	1.94	-1.00	1.94
12.00	-1.00	2.00	-1.00	2.00
13.00	-1.00	2.00	-1.00	2.00
14.00	-1.00	2.00	-1.00	2.00
15.00	-1.00	2.00	-1.00	2.00
16.00	-1.00	2.00	-1.00	2.00
17.00	-1.00	2.00	-1.00	2.00
18.00	-1.00	2.00	-1.00	2.00
19.00	-1.00	2.00	-1.00	2.00
20.00	-1.00	2.00	-1.00	2.00
21.00	-1.00	3.94	-1.00	3.94
22.00	-1.00	4.00	-1.00	4.00
23.00	-1.00	4.00	-1.00	4.00
24.00	-1.00	4.00	-1.00	4.00
25.00	-1.00	4.00	-1.00	4.00
26.00	-1.00	4.00	-1.00	4.00
27.00	-1.00	4.00	-1.00	4.00
28.00	-1.00	4.00	-1.00	4.00
29.00	-1.00	4.00	-1.00	4.00
30.00	-1.00	4.00	-1.00	4.00
31.00	-1.00	5.95	-1.00	5.95
32.00	-1.00	6.01	-1.00	6.01
33.00	-1.00	6.01	-1.00	6.01
34.00	-1.00	6.01	-1.00	6.01
35.00	-1.00	6.01	-1.00	6.01
36.00	-1.00	6.01	-1.00	6.01
37.00	-1.00	6.01	-1.00	5.95
38.00	-1.00	6.01	-1.00	6.06
39.00	-1.00	5.95	-1.00	5.95
40.00	-1.00	6.01	-1.00	6.01
41.00	-1.00	8.01	-1.00	8.01
42.00	-1.00	8.01	-1.00	8.01
43.00	-1.00	8.01	-1.00	8.01
44.00	-1.00	8.01	-1.00	8.01
45.00	-1.00	7.95	-1.00	8.01
46.00	-1.00	8.07	-1.00	7.95
47.00	-1.00	7.95	-1.00	8.01
48.00	-1.00	8.01	-1.00	8.01
49.00	-1.00	8.01	-1.00	8.01
50.00	-1.00	8.01	-1.00	8.01
51.00	-1.00	9.95	-1.00	9.95
52.00	-1.00	10.01	-1.00	10.01
53.00	-1.00	10.01	-1.00	9.95
54.00	-1.00	10.01	-1.00	10.01
55.00	-1.00	9.95	-1.00	10.01
56.00	-1.00	10.01	-1.00	10.01
57.00	-1.00	10.01	-1.00	10.01
58.00	-1.00	10.01	-1.00	10.01
59.00	-1.00	10.01	-1.00	9.95
60.00	-1.00	9.95	-1.00	10.01
61.00	-1.00	12.01	-1.00	12.01
62.00	-1.00	12.01	-1.00	12.01
63.00	-1.00	11.95	-1.00	12.01
64.00	-1.00	12.01	-1.00	11.95
65.00	-1.00	12.01	-1.00	12.01
66.00	-1.00	12.01	-1.00	12.01
67.00	-1.00	12.01	-1.00	12.01
68.00	-1.00	11.95	-1.00	12.01
69.00	-1.00	12.01	-1.00	11.95
70.00	-1.00	12.01	-1.00	12.01
71.00	-1.00	14.01	-1.00	14.01
72.00	-1.00	13.95	-1.00	14.01
73.00	-1.00	14.01	-1.00	14.01
74.00	-1.00	14.01	-1.00	13.95
75.00	-1.00	14.01	-1.00	14.01
76.00	-1.00	14.01	-1.00	14.01
77.00	-1.00	14.01	-1.00	13.95
78.00	-1.00	13.95	-1.00	14.01
79.00	-1.00	14.01	-1.00	14.01
80.00	-1.00	14.01	-1.00	14.01
81.00	-1.00	15.96	-1.00	15.90
82.00	-1.00	16.02	-1.00	16.02
83.00	-1.00	15.96	-1.00	16.02
84.00	-1.00	16.02	-1.00	16.02
85.00	-1.00	15.96	-1.00	15.96
86.00	-1.00	16.02	-1.00	16.07
87.00	-1.00	15.96	-1.00	15.96
88.00	-1.00	16.07	-1.00	16.02
89.00	-1.00	6.83	-1.00	5.65
90.00	-1.00	1.83	-1.00	2.30
91.00	-1.00	0.88	-1.00	1.12
92.00	-1.00	1.06	-1.00	0.35
93.00	-1.00	0.00	-1.00	0.00
94.00	-1.00	0.35	-1.00	1.12
95.00	-1.00	0.65	-1.00	0.12
96.00	-1.00	0.12	-1.00	1.24
97.00	-1.00	0.00	-1.00	0.00
98.00	-1.00	0.71	-1.00	0.47
99.00	-1.00	0.65	-1.00	3.00
100.00	-1.00	0.00	-1.00	0.00
101.00	-1.00	0.00	-1.00	0.00
102.00	-1.00	0.00	-1.00	0.00
103.00	-1.00	0.12	-1.00	0.00
104.00	-1.00	9.42	-1.00	2.89
105.00	-1.00	0.24	-1.00	0.88
106.00	-1.00	0.00	-1.00	0.53
107.00	-1.00	1.24	-1.00	0.59
108.00	-1.00	1.00	-1.00	0.94
109.00	-1.00	0.00	-1.00	0.06
110.00	-1.00	0.00	-1.00	0.00
111.00	-1.00	0.53	-1.00	2.12
112.00	-1.00	5.00	-1.00	2.47
113.00	-1.00	0.35	-1.00	1.47
114.00	-1.00	2.65	-1.00	2.18
Interrupted 
