Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
[1404/1889] Compiling src/wifi/model/obss-wifi-manager.cc
[1836/1889] Linking build/lib/libns3.30-wifi-debug.so
[1837/1889] Linking build/lib/libns3.30-dsr-debug.so
[1838/1889] Linking build/lib/libns3.30-mesh-debug.so
[1839/1889] Linking build/lib/libns3.30-wave-debug.so
[1840/1889] Linking build/lib/libns3.30-aodv-debug.so
[1841/1889] Linking build/lib/libns3.30-netanim-debug.so
[1842/1889] Linking build/lib/libns3.30-test-debug.so
[1843/1889] Linking build/scratch/subdir/subdir
[1844/1889] Linking build/scratch/obss-pd-0917
[1845/1889] Linking build/scratch/obss-pd-test
[1846/1889] Linking build/scratch/mesh-loc-jw
[1847/1889] Linking build/scratch/scratch-simulator
[1848/1889] Linking build/utils/ns3.30-test-runner-debug
[1849/1889] Linking build/utils/ns3.30-print-introspected-doxygen-debug
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.679s)
CreateVariables () DONE !!!
Creating 9 APs 35.00 and 35.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 100.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	0.12	-1.00	-1.00	0.11	-1.00	-1.00	0.11
12.00	-1.00	-1.00	0.48	-1.00	-1.00	0.02	-1.00	-1.00	0.16
13.00	-1.00	-1.00	0.31	-1.00	-1.00	0.39	-1.00	-1.00	0.07
14.00	-1.00	-1.00	0.07	-1.00	-1.00	0.42	-1.00	-1.00	0.32
15.00	-1.00	-1.00	0.09	-1.00	-1.00	0.39	-1.00	-1.00	0.32
16.00	-1.00	-1.00	0.18	-1.00	-1.00	0.28	-1.00	-1.00	0.42
17.00	-1.00	-1.00	0.24	-1.00	-1.00	0.15	-1.00	-1.00	0.04
18.00	-1.00	-1.00	0.37	-1.00	-1.00	0.46	-1.00	-1.00	0.22
19.00	-1.00	-1.00	0.24	-1.00	-1.00	0.33	-1.00	-1.00	0.33
20.00	-1.00	-1.00	0.34	-1.00	-1.00	0.31	-1.00	-1.00	0.34
21.00	-1.00	-1.00	0.52	-1.00	-1.00	0.45	-1.00	-1.00	0.22
22.00	-1.00	-1.00	0.95	-1.00	-1.00	0.79	-1.00	-1.00	0.07
23.00	-1.00	-1.00	0.65	-1.00	-1.00	0.60	-1.00	-1.00	0.19
24.00	-1.00	-1.00	0.51	-1.00	-1.00	0.18	-1.00	-1.00	0.22
25.00	-1.00	-1.00	0.51	-1.00	-1.00	0.44	-1.00	-1.00	0.05
26.00	-1.00	-1.00	0.73	-1.00	-1.00	0.51	-1.00	-1.00	0.81
27.00	-1.00	-1.00	0.59	-1.00	-1.00	0.57	-1.00	-1.00	0.40
