Dst	Src	HeMcs	Txlevel	Num	isObss
9 	  8	  4	  10	  10	  0
8 	  9	  4	  10	  15438	  0
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  12076	  0
6 	  5	  4	  10	  10	  0
5 	  6	  4	  10	  11402	  0
5 	  4	  4	  10	  10	  0
4 	  5	  4	  10	  8626	  0
3 	  2	  4	  10	  10	  0
2 	  3	  4	  10	  14362	  0
8 	  9	  0	  7	  339	  1
2 	  3	  0	  7	  283	  1
2 	  3	  2	  10	  363	  1
7 	  8	  3	  6	  272	  1
2 	  1	  4	  10	  9	  0
1 	  2	  4	  10	  11196	  0
7 	  8	  0	  7	  108	  1
1 	  2	  0	  7	  92	  1
1 	  2	  3	  6	  190	  1
8 	  9	  2	  10	  194	  1

 TotalReset Number= 13558
