Dst	Src	HeMcs	Txlevel	Num	isObss
6 	  5	  4	  10	  10	  0
5 	  6	  4	  10	  32585	  0
5 	  4	  4	  10	  9	  0
4 	  5	  4	  10	  27313	  0
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  31642	  0
5 	  6	  4	  6	  10	  1
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  27018	  0
5 	  6	  4	  7	  1	  1
2 	  3	  4	  7	  2	  1
5 	  6	  0	  6	  1521	  1
4 	  5	  0	  6	  794	  1
2 	  3	  0	  6	  1558	  1
5 	  6	  0	  7	  1383	  1
2 	  3	  0	  7	  1518	  1
1 	  2	  0	  6	  616	  1

 TotalTx Number= 126000

 TotalReset Number= 33728
