Dst	Src	HeMcs	Txlevel	Num	isObss
1 	  2	  4	  10	  39429	  0
2 	  1	  4	  10	  68270	  0
2 	  3	  4	  10	  42014	  0
3 	  2	  4	  10	  50366	  0
4 	  5	  4	  10	  34112	  0
5 	  4	  4	  10	  61989	  0
5 	  6	  4	  10	  37703	  0
6 	  5	  4	  10	  45226	  0
7 	  8	  4	  10	  35450	  0
8 	  7	  4	  10	  60439	  0
8 	  9	  4	  10	  37768	  0
9 	  8	  4	  10	  45817	  0
7 	  8	  1	  7	  313	  1
3 	  2	  4	  7	  383	  1
6 	  5	  4	  7	  430	  1
4 	  5	  1	  7	  399	  1
9 	  8	  4	  7	  412	  1
1 	  2	  1	  7	  462	  1
5 	  6	  1	  7	  6	  1
8 	  9	  1	  7	  1	  1
2 	  3	  1	  7	  10	  1

 TotalTx Number= 561000

 TotalReset Number= 57791
