Dst	Src	HeMcs	Txlevel	Num	isObss
4 	  3	  4	  10	  10	  0
3 	  4	  4	  10	  22891	  0
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  18641	  0
2 	  1	  4	  10	  10	  0
1 	  2	  4	  10	  16536	  0
12 	  11	  4	  10	  9	  0
11 	  12	  4	  10	  20596	  0
11 	  10	  4	  10	  10	  0
10 	  11	  4	  10	  16548	  0
10 	  9	  4	  10	  9	  0
9 	  10	  4	  10	  14728	  0
8 	  7	  4	  10	  10	  0
7 	  8	  4	  10	  21805	  0
7 	  6	  4	  10	  10	  0
6 	  7	  4	  10	  16642	  0
6 	  5	  4	  10	  17	  0
5 	  6	  4	  10	  15068	  0
16 	  15	  4	  10	  12	  0
15 	  16	  4	  10	  20762	  0
15 	  14	  4	  10	  9	  0
14 	  15	  4	  10	  16989	  0
11 	  12	  4	  7	  2	  1
14 	  13	  4	  10	  10	  0
13 	  14	  4	  10	  14730	  0
11 	  12	  1	  7	  357	  1
9 	  10	  1	  7	  65	  1
15 	  16	  1	  7	  771	  1
13 	  14	  1	  7	  33	  1
10 	  11	  1	  7	  138	  1
6 	  7	  1	  7	  137	  1
7 	  8	  1	  7	  688	  1
3 	  4	  1	  7	  433	  1
5 	  6	  1	  7	  56	  1
1 	  2	  1	  7	  37	  1
14 	  15	  1	  7	  123	  1
2 	  3	  1	  7	  98	  1

 TotalTx Number= 219000

 TotalReset Number= 40186
