Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.379s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	2.78	-1.00	-1.00	1.85	-1.00	-1.00	2.90
12.00	-1.00	-1.00	3.48	-1.00	-1.00	3.65	-1.00	-1.00	1.32
13.00	-1.00	-1.00	1.62	-1.00	-1.00	1.56	-1.00	-1.00	3.49
14.00	-1.00	-1.00	4.63	-1.00	-1.00	3.42	-1.00	-1.00	2.37
15.00	-1.00	-1.00	4.23	-1.00	-1.00	0.46	-1.00	-1.00	3.42
16.00	-1.00	-1.00	3.94	-1.00	-1.00	4.46	-1.00	-1.00	0.98
17.00	-1.00	-1.00	3.41	-1.00	-1.00	3.53	-1.00	-1.00	1.10
18.00	-1.00	-1.00	0.58	-1.00	-1.00	1.85	-1.00	-1.00	2.14
19.00	-1.00	-1.00	2.95	-1.00	-1.00	2.09	-1.00	-1.00	1.80
20.00	-1.00	-1.00	1.22	-1.00	-1.00	4.00	-1.00	-1.00	1.22
21.00	-1.00	-1.00	2.14	-1.00	-1.00	2.37	-1.00	-1.00	2.26
22.00	-1.00	-1.00	2.84	-1.00	-1.00	3.30	-1.00	-1.00	2.78
23.00	-1.00	-1.00	3.07	-1.00	-1.00	3.88	-1.00	-1.00	1.04
24.00	-1.00	-1.00	1.45	-1.00	-1.00	1.27	-1.00	-1.00	2.14
25.00	-1.00	-1.00	0.93	-1.00	-1.00	2.78	-1.00	-1.00	3.30
26.00	-1.00	-1.00	1.27	-1.00	-1.00	2.49	-1.00	-1.00	2.90
27.00	-1.00	-1.00	2.32	-1.00	-1.00	0.64	-1.00	-1.00	2.09
28.00	-1.00	-1.00	3.53	-1.00	-1.00	1.33	-1.00	-1.00	2.72
29.00	-1.00	-1.00	3.01	-1.00	-1.00	3.36	-1.00	-1.00	2.03
30.00	-1.00	-1.00	1.68	-1.00	-1.00	4.11	-1.00	-1.00	1.56
31.00	-1.00	-1.00	1.68	-1.00	-1.00	4.29	-1.00	-1.00	0.64
32.00	-1.00	-1.00	3.42	-1.00	-1.00	1.04	-1.00	-1.00	0.46
33.00	-1.00	-1.00	3.36	-1.00	-1.00	4.46	-1.00	-1.00	0.17
34.00	-1.00	-1.00	3.13	-1.00	-1.00	3.19	-1.00	-1.00	0.64
35.00	-1.00	-1.00	4.46	-1.00	-1.00	1.97	-1.00	-1.00	4.63
36.00	-1.00	-1.00	3.15	-1.00	-1.00	1.33	-1.00	-1.00	1.10
37.00	-1.00	-1.00	4.96	-1.00	-1.00	3.24	-1.00	-1.00	2.84
38.00	-1.00	-1.00	3.36	-1.00	-1.00	3.94	-1.00	-1.00	2.37
39.00	-1.00	-1.00	1.68	-1.00	-1.00	3.53	-1.00	-1.00	1.56
10.1.1.3	3.01	2829.37
10.1.1.9	2.26	3152.71
10.1.1.6	3.03	2734.37
