Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.346s)
CreateVariables () DONE !!!
Creating 9 APs 30.00 and 30.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	2.03	-1.00	-1.00	1.74	-1.00	-1.00	2.20
12.00	-1.00	-1.00	3.88	-1.00	-1.00	3.01	-1.00	-1.00	1.10
13.00	-1.00	-1.00	1.80	-1.00	-1.00	0.98	-1.00	-1.00	0.35
14.00	-1.00	-1.00	3.07	-1.00	-1.00	0.52	-1.00	-1.00	2.67
15.00	-1.00	-1.00	2.26	-1.00	-1.00	0.52	-1.00	-1.00	2.56
16.00	-1.00	-1.00	0.35	-1.00	-1.00	2.09	-1.00	-1.00	2.94
17.00	-1.00	-1.00	3.24	-1.00	-1.00	1.39	-1.00	-1.00	1.62
18.00	-1.00	-1.00	0.81	-1.00	-1.00	2.95	-1.00	-1.00	2.37
19.00	-1.00	-1.00	1.22	-1.00	-1.00	0.81	-1.00	-1.00	1.04
20.00	-1.00	-1.00	2.61	-1.00	-1.00	1.45	-1.00	-1.00	2.95
21.00	-1.00	-1.00	2.15	-1.00	-1.00	2.49	-1.00	-1.00	1.08
22.00	-1.00	-1.00	0.92	-1.00	-1.00	0.98	-1.00	-1.00	0.54
23.00	-1.00	-1.00	3.19	-1.00	-1.00	2.32	-1.00	-1.00	1.68
24.00	-1.00	-1.00	3.01	-1.00	-1.00	1.85	-1.00	-1.00	0.41
25.00	-1.00	-1.00	2.14	-1.00	-1.00	1.16	-1.00	-1.00	2.20
26.00	-1.00	-1.00	2.95	-1.00	-1.00	0.70	-1.00	-1.00	0.58
27.00	-1.00	-1.00	1.45	-1.00	-1.00	1.97	-1.00	-1.00	1.74
28.00	-1.00	-1.00	1.16	-1.00	-1.00	2.72	-1.00	-1.00	3.01
29.00	-1.00	-1.00	0.82	-1.00	-1.00	3.59	-1.00	-1.00	0.52
30.00	-1.00	-1.00	2.08	-1.00	-1.00	2.90	-1.00	-1.00	1.62
31.00	-1.00	-1.00	2.20	-1.00	-1.00	2.26	-1.00	-1.00	2.03
32.00	-1.00	-1.00	1.39	-1.00	-1.00	1.56	-1.00	-1.00	2.37
33.00	-1.00	-1.00	0.12	-1.00	-1.00	2.90	-1.00	-1.00	1.04
34.00	-1.00	-1.00	2.78	-1.00	-1.00	3.76	-1.00	-1.00	1.60
35.00	-1.00	-1.00	0.58	-1.00	-1.00	3.94	-1.00	-1.00	1.99
36.00	-1.00	-1.00	2.15	-1.00	-1.00	2.26	-1.00	-1.00	1.37
37.00	-1.00	-1.00	1.10	-1.00	-1.00	1.85	-1.00	-1.00	3.27
38.00	-1.00	-1.00	0.75	-1.00	-1.00	2.03	-1.00	-1.00	2.72
39.00	-1.00	-1.00	2.20	-1.00	-1.00	1.45	-1.00	-1.00	2.49
10.1.1.6	2.26	3801.92
10.1.1.3	2.07	5179.53
10.1.1.9	1.96	5480.74
