Dst	Src	HeMcs	Txlevel	Num	isObss
6 	  5	  4	  10	  6575	  0
5 	  6	  4	  10	  9136	  0
9 	  8	  4	  10	  8541	  0
8 	  9	  4	  10	  16191	  0
3 	  2	  4	  10	  9407	  0
2 	  3	  4	  10	  16592	  0
5 	  4	  4	  10	  8171	  0
4 	  5	  4	  10	  7258	  0
2 	  1	  4	  10	  15123	  0
1 	  2	  4	  10	  13611	  0
8 	  7	  4	  10	  13630	  0
7 	  8	  4	  10	  12848	  0
2 	  3	  0	  7	  641	  1
8 	  9	  0	  7	  494	  1
9 	  8	  4	  6	  152	  1
1 	  2	  3	  6	  427	  1
7 	  8	  3	  6	  333	  1
1 	  2	  0	  7	  203	  1
8 	  9	  2	  10	  502	  1
2 	  3	  2	  10	  645	  1
9 	  8	  4	  7	  110	  1
3 	  2	  4	  6	  95	  1
7 	  8	  0	  7	  214	  1
3 	  2	  4	  7	  100	  1

 TotalReset Number= 18356
