Waf: Entering directory `/home/synrg/ns-3.30-obss/build'
Waf: Leaving directory `/home/synrg/ns-3.30-obss/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (0.339s)
CreateVariables () DONE !!!
Creating 9 APs 24.00 and 24.00 m apart.
CreateApNodes () DONE !!!
Creating CL 10.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	cl-0	cl-1	cl-2	cl-3	cl-4	cl-5	cl-6	cl-7	cl-8
11.00	-1.00	-1.00	0.70	-1.00	-1.00	0.64	-1.00	-1.00	0.64
12.00	-1.00	-1.00	2.90	-1.00	-1.00	0.12	-1.00	-1.00	0.98
13.00	-1.00	-1.00	1.85	-1.00	-1.00	2.32	-1.00	-1.00	0.46
14.00	-1.00	-1.00	0.41	-1.00	-1.00	2.61	-1.00	-1.00	1.91
15.00	-1.00	-1.00	0.58	-1.00	-1.00	2.32	-1.00	-1.00	1.85
16.00	-1.00	-1.00	1.04	-1.00	-1.00	1.68	-1.00	-1.00	2.55
17.00	-1.00	-1.00	1.45	-1.00	-1.00	0.93	-1.00	-1.00	0.23
18.00	-1.00	-1.00	2.16	-1.00	-1.00	2.78	-1.00	-1.00	1.33
19.00	-1.00	-1.00	1.43	-1.00	-1.00	1.91	-1.00	-1.00	1.97
20.00	-1.00	-1.00	2.09	-1.00	-1.00	1.85	-1.00	-1.00	2.03
21.00	-1.00	-1.00	1.56	-1.00	-1.00	1.39	-1.00	-1.00	0.75
22.00	-1.00	-1.00	2.84	-1.00	-1.00	2.37	-1.00	-1.00	0.17
23.00	-1.00	-1.00	1.97	-1.00	-1.00	1.80	-1.00	-1.00	0.58
24.00	-1.00	-1.00	1.51	-1.00	-1.00	0.52	-1.00	-1.00	0.70
25.00	-1.00	-1.00	1.51	-1.00	-1.00	1.28	-1.00	-1.00	0.12
26.00	-1.00	-1.00	2.20	-1.00	-1.00	1.56	-1.00	-1.00	2.49
27.00	-1.00	-1.00	1.80	-1.00	-1.00	1.68	-1.00	-1.00	1.16
28.00	-1.00	-1.00	1.27	-1.00	-1.00	2.95	-1.00	-1.00	0.46
29.00	-1.00	-1.00	2.26	-1.00	-1.00	2.37	-1.00	-1.00	1.68
30.00	-1.00	-1.00	0.23	-1.00	-1.00	0.75	-1.00	-1.00	0.87
31.00	-1.00	-1.00	1.68	-1.00	-1.00	2.84	-1.00	-1.00	2.32
32.00	-1.00	-1.00	2.32	-1.00	-1.00	2.95	-1.00	-1.00	0.70
33.00	-1.00	-1.00	0.75	-1.00	-1.00	1.10	-1.00	-1.00	1.97
34.00	-1.00	-1.00	1.74	-1.00	-1.00	1.80	-1.00	-1.00	1.10
35.00	-1.00	-1.00	1.16	-1.00	-1.00	2.20	-1.00	-1.00	0.75
36.00	-1.00	-1.00	0.41	-1.00	-1.00	1.45	-1.00	-1.00	1.33
37.00	-1.00	-1.00	0.29	-1.00	-1.00	1.51	-1.00	-1.00	0.64
38.00	-1.00	-1.00	2.95	-1.00	-1.00	2.37	-1.00	-1.00	2.09
39.00	-1.00	-1.00	1.39	-1.00	-1.00	1.74	-1.00	-1.00	0.93
10.1.1.6	1.99	2526.85
10.1.1.3	1.69	2490.62
10.1.1.9	1.37	2585.04
