Dst	Src	HeMcs	Txlevel	Num	isObss
9 	  8	  4	  10	  6115	  0
8 	  9	  4	  10	  8584	  0
8 	  7	  4	  10	  8760	  0
7 	  8	  4	  10	  7269	  0
6 	  5	  4	  10	  5897	  0
5 	  6	  4	  10	  9287	  0
3 	  2	  4	  10	  5282	  0
2 	  3	  4	  10	  8113	  0
5 	  4	  4	  10	  7825	  0
4 	  5	  4	  10	  6768	  0
2 	  1	  4	  10	  7340	  0
1 	  2	  4	  10	  6260	  0
2 	  3	  1	  10	  201	  1
9 	  8	  4	  5	  18	  1
7 	  8	  1	  5	  61	  1
3 	  2	  4	  5	  15	  1
8 	  9	  1	  10	  116	  1
1 	  2	  1	  5	  88	  1

 TotalReset Number= 4970
