Dst	Src	HeMcs	Txlevel	Num	isObss
4 	  3	  4	  9	  740	  0
3 	  4	  4	  9	  1347	  0
12 	  11	  4	  9	  647	  0
11 	  12	  4	  9	  1183	  0
16 	  15	  4	  9	  735	  0
15 	  16	  4	  9	  1366	  0
15 	  14	  4	  9	  771	  0
14 	  15	  4	  9	  959	  0
11 	  10	  4	  9	  730	  0
10 	  11	  4	  9	  801	  0
14 	  13	  4	  9	  930	  0
13 	  14	  4	  9	  965	  0
10 	  9	  4	  9	  898	  0
9 	  10	  4	  9	  755	  0
8 	  7	  4	  9	  746	  0
7 	  8	  4	  9	  1064	  0
7 	  6	  4	  9	  724	  0
6 	  7	  4	  9	  1012	  0
3 	  2	  4	  9	  759	  0
2 	  3	  4	  9	  904	  0
6 	  5	  4	  9	  997	  0
5 	  6	  4	  9	  1162	  0
2 	  1	  4	  9	  941	  0
1 	  2	  4	  9	  855	  0
6 	  7	  4	  10	  1	  1
5 	  6	  4	  10	  5	  1
13 	  14	  2	  10	  1	  1
7 	  8	  4	  10	  1	  1

 TotalTx Number= 22000

 TotalReset Number= 3361
