Dst	Src	HeMcs	Txlevel	Num	isObss
3 	  2	  4	  10	  7022	  0
2 	  3	  4	  10	  10349	  0
6 	  5	  4	  10	  7372	  0
5 	  6	  4	  10	  9602	  0
2 	  1	  4	  10	  9968	  0
1 	  2	  4	  10	  9193	  0
9 	  8	  4	  10	  7439	  0
8 	  9	  4	  10	  11127	  0
8 	  7	  4	  10	  9676	  0
7 	  8	  4	  10	  8950	  0
5 	  4	  4	  10	  8471	  0
4 	  5	  4	  10	  7914	  0
2 	  3	  0	  9	  220	  1
8 	  9	  0	  9	  417	  1
3 	  2	  4	  4	  62	  1
7 	  8	  0	  4	  78	  1
1 	  2	  0	  4	  99	  1
9 	  8	  4	  4	  40	  1

 TotalTx Number= 108000

 TotalReset Number= 6619
