Dst	Src	HeMcs	Txlevel	Num	isObss
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  10791	  0
6 	  5	  4	  10	  10	  0
5 	  6	  4	  10	  9093	  0
2 	  1	  4	  10	  9	  0
1 	  2	  4	  10	  8636	  0
5 	  4	  4	  10	  16	  0
4 	  5	  4	  10	  7273	  0
9 	  8	  4	  10	  10	  0
8 	  9	  4	  10	  12549	  0
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  10460	  0
8 	  9	  2	  10	  242	  1
1 	  2	  3	  6	  213	  1
2 	  3	  0	  7	  312	  1
8 	  9	  0	  7	  280	  1
7 	  8	  3	  6	  290	  1
2 	  3	  2	  10	  569	  1
1 	  2	  0	  7	  117	  1
7 	  8	  0	  7	  106	  1
1 	  2	  5	  10	  5	  1

 TotalReset Number= 13443
