Dst	Src	HeMcs	Txlevel	Num	isObss
12 	  11	  4	  10	  10	  0
11 	  12	  4	  10	  2138	  0
11 	  10	  4	  10	  10	  0
10 	  11	  4	  10	  1632	  0
10 	  9	  4	  10	  10	  0
9 	  10	  4	  10	  1521	  0
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  1970	  0
16 	  15	  4	  10	  10	  0
15 	  16	  4	  10	  2534	  0
15 	  14	  4	  10	  10	  0
14 	  15	  4	  10	  1780	  0
7 	  6	  4	  10	  9	  0
6 	  7	  4	  10	  1608	  0
6 	  5	  4	  10	  34	  0
5 	  6	  4	  10	  1715	  0
14 	  13	  4	  10	  11	  0
13 	  14	  4	  10	  1559	  0
4 	  3	  4	  10	  9	  0
3 	  4	  4	  10	  2397	  0
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  2095	  0
2 	  1	  4	  10	  9	  0
1 	  2	  4	  10	  1801	  0
3 	  4	  0	  10	  20	  1
7 	  8	  0	  10	  18	  1
11 	  12	  1	  10	  21	  1
2 	  3	  1	  4	  7	  1
1 	  2	  1	  4	  5	  1
9 	  10	  1	  4	  10	  1
11 	  12	  0	  10	  9	  1
15 	  16	  1	  10	  6	  1
6 	  7	  1	  10	  4	  1
14 	  15	  1	  10	  4	  1
15 	  16	  0	  10	  5	  1

 TotalTx Number= 23000

 TotalReset Number= 6587
