Dst	Src	HeMcs	Txlevel	Num	isObss
8 	  7	  4	  10	  9	  0
7 	  8	  4	  10	  2538	  0
7 	  6	  4	  10	  9	  0
6 	  7	  4	  10	  1731	  0
6 	  5	  4	  10	  10	  0
5 	  6	  4	  10	  2022	  0
16 	  15	  4	  10	  9	  0
15 	  16	  4	  10	  4530	  0
15 	  14	  4	  10	  10	  0
14 	  15	  4	  10	  1851	  0
14 	  13	  4	  10	  9	  0
13 	  14	  4	  10	  1456	  0
4 	  3	  4	  10	  9	  0
3 	  4	  4	  10	  5156	  0
3 	  2	  4	  10	  9	  0
2 	  3	  4	  10	  2028	  0
2 	  1	  4	  10	  9	  0
1 	  2	  4	  10	  2096	  0
12 	  11	  4	  10	  10	  0
11 	  12	  4	  10	  2551	  0
11 	  10	  4	  10	  10	  0
10 	  11	  4	  10	  1785	  0
10 	  9	  4	  10	  10	  0
9 	  10	  4	  10	  2214	  0
1 	  2	  0	  2	  112	  1
5 	  6	  0	  2	  137	  1
3 	  4	  1	  10	  23	  1
1 	  2	  1	  4	  5	  1
9 	  10	  0	  2	  142	  1
13 	  14	  0	  2	  172	  1
11 	  12	  1	  10	  57	  1
9 	  10	  1	  4	  63	  1
15 	  16	  1	  10	  12	  1
15 	  16	  0	  7	  19	  1
3 	  4	  0	  7	  15	  1
2 	  3	  3	  6	  6	  1
11 	  12	  0	  7	  7	  1
5 	  6	  1	  4	  48	  1
7 	  8	  0	  7	  2	  1
5 	  6	  3	  6	  10	  1
7 	  8	  2	  10	  2	  1
5 	  6	  0	  7	  1	  1
3 	  4	  2	  10	  29	  1
15 	  16	  2	  10	  7	  1
14 	  15	  0	  7	  1	  1
14 	  15	  2	  10	  5	  1
13 	  14	  1	  4	  8	  1
9 	  10	  0	  7	  8	  1
1 	  2	  0	  7	  2	  1
7 	  8	  1	  10	  18	  1
1 	  2	  3	  6	  13	  1
10 	  11	  3	  6	  1	  1
11 	  12	  2	  10	  2	  1
2 	  3	  0	  7	  1	  1

 TotalReset Number= 16317
